Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14942999504401253,11.80855519205347,36049.83203125,48969.365740050467,31.334461749657532,1491.7878779179061,1023.7799846471936
0.44999999999999996,0.44829700798182753,11.808667166000133,36026.80953433481,48937.943571633157,31.312013628197835,1491.7663792801229,1023.7638990288489
0.74999999999999989,0.74716555614176272,11.810588025893148,36020.784469662205,48927.2060043222,31.304458161179486,1491.7689480930426,1023.7590413587428
1.05,1.0460348354947398,11.812218547583003,36021.2356125241,48925.651636512361,31.303400874576404,1491.7782761302019,1023.759279062775
1.35,1.3449049027578315,11.812268688771534,36012.606173025728,48913.86412162405,31.294906184457936,1491.7732389568298,1023.7540328800967
1.65,1.6437777085176419,11.809888573961397,35990.752619796607,48887.342524116968,31.275688299139969,1491.7469637419674,1023.7409076866825
1.9500000000000002,1.9426547270008403,11.810552324747674,35969.324198485359,48857.35465357748,31.2543226656119,1491.7286724887144,1023.7255625388716
2.25,2.2415351750189143,11.809572417148651,35956.191114621,48840.816061571415,31.242347542461026,1491.7159054002277,1023.7178031359962
2.55,2.5404166814723568,11.807131208099225,35952.989755354414,48839.706566757828,31.24118712211806,1491.7109956757865,1023.7187012139707
2.85,2.8392977218674047,11.806762791035313,35954.478824456346,48842.218247475772,31.24281364589887,1491.7166024035159,1023.7213851302778
3.15,3.1381781348715965,11.805549648289937,35954.119330366477,48843.339759819319,31.243365171433727,1491.7179957748767,1023.7233884002321
3.4499999999999997,3.4370574910713483,11.805798708492842,35960.2222219748,48851.2999089965,31.248927329844125,1491.7304466874368,1023.7290140085892
3.75,3.7359355916251586,11.804605719069043,35961.703254284883,48854.895401925969,31.251239047535677,1491.7340135110935,1023.7323794671529
4.05,4.0348126788611109,11.801998140697656,35962.410884109187,48859.318380786492,31.253992867135754,1491.7332039394437,1023.7363450876419
4.35,4.3336890214699677,11.801837326020326,35962.583640394347,48859.766595087094,31.254174321973693,1491.7378034919275,1023.7378699033843
4.6499999999999995,4.6325648011575273,11.801946764369957,35964.653561033891,48862.433543669635,31.255960443176431,1491.7452578802279,1023.7405907678461
4.9499999999999993,4.9314394579717193,11.801808297849462,35969.971158892411,48869.8420302819,31.261090696492019,1491.7558494154559,1023.7459516309299
5.2499999999999991,5.2303131230964874,11.802028702638959,35970.965207104135,48870.899886729305,31.261744746467574,1491.7623356199117,1023.7477738326635
5.55,5.5291860934010924,11.80284173484471,35974.627667978719,48874.796037717591,31.264477115158307,1491.7733604428938,1023.7511009886995
5.85,5.8280585912670206,11.803599451274049,35974.186550974176,48873.190513066569,31.26329379369227,1491.7795136741158,1023.7513997248036
6.1499999999999995,6.1269305209147893,11.801402260595916,35975.373767116835,48877.721441658854,31.266166554063368,1491.78026935468,1023.755383068511
6.4499999999999993,6.4258014054507191,11.801729258722819,35978.813764492254,48881.960833354708,31.269092719919811,1491.7898407327807,1023.7589489208901
6.7499999999999991,6.7246712392780736,11.801975193377411,35982.772013872571,48887.011939983786,31.27258743772288,1491.7998105663542,1023.7629706632873
7.0499999999999989,7.0235403056181474,11.799951892027488,35981.005547486107,48887.299707695,31.272462436980064,1491.7975862960943,1023.7645962349611
7.35,7.3224089482119989,11.7974939041402,35978.810251539064,48887.582324581861,31.272288797139385,1491.7937962136339,1023.7662630633964
7.6499999999999995,7.6212760733529663,11.792396172431316,35983.619363011152,48900.891361315866,31.281099903671024,1491.7915903974238,1023.7753816448291
7.9499999999999993,7.920141797662926,11.79014803916515,35980.591562374109,48899.764583810291,31.27994595799348,1491.7873548952125,1023.7762495187177
8.25,8.2190068471112738,11.788395278702172,35982.487696799464,48904.67146528505,31.283131289926235,1491.7900238202078,1023.7803945389094
8.5499999999999989,8.5178704726816061,11.785256105454439,35985.313809103507,48912.686248455509,31.28838178672035,1491.790352519912,1023.7863940627569
8.85,8.8167323161156457,11.781185203438225,35987.902049100187,48921.618281262068,31.294187456332612,1491.7881124420524,1023.7929936900596
