Vessel,Start Lat,Start Lon,End Lat,End Lon
LJ,4503.298857,6514,4513.791143,6442.097714
BP,4504.256163,6514,4514.492408,6443.155184
FM,4505.213469,6514,4515.193673,6444.212653
LM,4506.170776,6514,4515.894939,6445.270122
LJ,4507.128082,6514,4516.596204,6446.327592
BP,4508.085388,6514,4517.297469,6447.385061
FM,4509.042694,6514,4517.998735,6448.442531
LM,4510,6514,4518.7,6449.5
LB,4515,6503,4519,6450
LB,4515.783,6503,4519.467,6451
LB,4516.567,6503,4519.933,6452
LB,4517.35,6503,4520.4,6453
C1,4513.475,6441.48,4515.825,6433
C1,4514.356667,6442.796667,4517.116667,6433
C1,4515.238333,6444.113333,4518.408333,6433
C1,4516.12,6445.43,4519.7,6433
