Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-57.08332701,0.00694492082558765,36.615335381
BP,T02,-35.5,-60.21296948,0.00337833764044014,37.19068385
C1,T01,-35.5,-54.17683522,0.0135617732253561,41.131552707
C1,T02,-35.5,-61.79758108,0.00234553486033428,40.42422611
FM,T01,-35.5,-52.77766962,0.0187168619872761,38.271418349
FM,T02,-35.5,-59.48189838,0.00399769964856037,38.20995214
LB,T01,-35.5,-61.00305766,0.00281639934082429,38.295041521
LB,T02,-35.5,-60.27253429,0.00333231901259969,37.91404895
LJ,T01,-35.5,-51.33133784,0.0261135680451777,37.02867183
LJ,T02,-35.5,-60.4609898,0.0031908105549977,37.14112612
LM,T01,-35.5,-54.8012602,0.0117455668229063,37.479603908
LM,T02,-35.5,-60.11950153,0.00345183356158226,38.04153182
MS,T01,-35.5,-51.12856819,0.0273617065597395,40.535198145
MS,T02,-35.5,-60.88160039,0.00289627610339069,39.77118195
SL,T01,-35.5,-47.66119315,0.0607967949510037,41.977761418
SL,T02,-35.5,-54.37788992,0.0129482479723799,40.12107762
TM,T01,-35.5,-54.10139521,0.0137994087499452,37.103223944
TM,T02,-35.5,-61.75142335,0.00237059664266452,37.20458157
BP,T03,-35.5,-57.80036293,0.00588794449089472,28.6416481
C1,T03,-35.5,-57.46230968,0.00636456948140366,29.6459146
FM,T03,-35.5,-54.44765359,0.0127419131627113,28.9429585
LB,T03,-35.5,-59.01532953,0.00445109688012428,29.0702729
LJ,T03,-35.5,-60.18007081,0.00340402639525161,28.0449459
LM,T03,-35.5,-58.81391803,0.00466238568853842,28.87926647
MS,T03,-35.5,-52.78706646,0.0186764080495483,29.6061465
SL,T03,-35.5,-60.82780098,0.00293237765850499,30.2594049
TM,T03,-35.5,-55.9645296,0.00898559913561544,28.69401551
