Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,441,-51.45195497,0.025583455,11200.64654,4195.615421,37.45868959,Main Box,"10,471"
NA,87,NA,NA,NA,NA,NA,Northern Box,"10,471"
NA,116,NA,NA,NA,NA,NA,Eastern Box,"10,471"
