Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2023-15,1,1,65 14.93,45 03.54,65 13.37,45 04.01,18:44,18:54,with,6.7,67,Darren,E,8,0,16,78434,139742,9,8,,45.0553,-65.2066
SB2023-16,1,2,65 12.22,45 03.72,65 13.07,45 03.43,19:04,19:14,against,5.3,243,Darren,E,8,0,16,139742,213070,9,8,,45.0553,-65.2066
