Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2022-08-22T00:40:24Z,2022-08-22T03:48:40Z,-65.23631788,45.064375,-64.71483276,45.23709358,45.326503843,Actual,6,SB,45.326503843,2022-08-22T00:40:24Z,2022-08-22T03:48:40Z,188.26666666666668,7.7998823681105796,2022,2022-08-21
BP,T02,2022-08-22T04:12:01Z,2022-08-22T06:33:34Z,-64.79150029,45.28783337,-65.23173075,45.13699972,38.48111487999999,Actual,6,SB,38.48111487999999,2022-08-22T04:12:01Z,2022-08-22T06:33:34Z,141.55,8.807386123671163,2022,2022-08-22
C1,T01,2022-08-22T00:42:22Z,2022-08-22T03:48:48Z,-65.22896947,45.05745466,-64.70485857,45.23066354,46.89322361199999,Actual,6,SB,46.89322361199999,2022-08-22T00:42:22Z,2022-08-22T03:48:48Z,186.43333333333334,8.14883995940909,2022,2022-08-21
C1,T02,2022-08-22T04:13:30Z,2022-08-22T06:40:15Z,-64.78778375,45.28118633,-65.2341664,45.12640433,40.122254479999995,Actual,6,SB,40.122254479999995,2022-08-22T04:13:30Z,2022-08-22T06:40:15Z,146.75,8.857608534741987,2022,2022-08-22
LM,T01,2022-08-22T00:44:51Z,2022-08-22T03:53:08Z,-65.22934703,45.03551764,-64.68139091,45.21608263,47.883446633,Actual,6,SB,47.883446633,2022-08-22T00:44:51Z,2022-08-22T03:53:08Z,188.28333333333333,8.239157201300408,2022,2022-08-21
LM,T02,2022-08-22T04:15:06Z,2022-08-22T06:31:34Z,-64.75860951,45.26778603,-65.23281912,45.10695682,41.51787432999999,Actual,6,SB,41.51787432999999,2022-08-22T04:15:06Z,2022-08-22T06:31:34Z,136.46666666666667,9.856387987008695,2022,2022-08-22
MS,T01,2022-08-22T00:47:43Z,2022-08-22T04:19:02Z,-65.22735064,45.07804386,-64.72716786,45.24493414,47.003043514000005,Actual,6,SB,47.003043514000005,2022-08-22T00:47:43Z,2022-08-22T04:19:02Z,211.31666666666666,7.206120049235253,2022,2022-08-21
MS,T02,2022-08-22T04:48:39Z,2022-08-22T07:07:40Z,-64.80483057,45.29699478,-65.22924826,45.14802641,38.24428375000001,Actual,6,SB,38.24428375000001,2022-08-22T04:48:39Z,2022-08-22T07:07:40Z,139.01666666666665,8.912692545809858,2022,2022-08-22
SL,T01,2022-08-22T00:48:11Z,2022-08-22T03:47:17Z,-65.21870215,45.09181867,-64.73869734,45.25279367,43.492304468,Actual,6,SB,43.492304468,2022-08-22T00:48:11Z,2022-08-22T03:47:17Z,179.1,7.867307008847675,2022,2022-08-21
SL,T02,2022-08-22T04:12:44Z,2022-08-22T06:37:39Z,-64.81519575,45.30434635,-65.23317672,45.15669258,37.80791789999999,Actual,6,SB,37.80791789999999,2022-08-22T04:12:44Z,2022-08-22T06:37:39Z,144.91666666666669,8.452276380763193,2022,2022-08-22
FM,NA,NA,NA,-65.23333333,45.0719,-64.72031667,45.24225,NA,Plan,6,SB,44.51246305120274,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-65.23333333,45.14298333,-64.79883333,45.29431667,NA,Plan,6,SB,38.008069047378505,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-65.23333333,45.04821667,-64.69415,45.2249,NA,Plan,6,SB,46.68554684021656,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-65.23333333,45.11928333,-64.77266667,45.27695,NA,Plan,6,SB,40.17250762328787,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.06005,-64.70723333,45.23356667,NA,Plan,6,SB,45.59868910568391,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.13113333,-64.78575,45.28563333,NA,Plan,6,SB,39.08987976131695,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-65.23333333,45.0956,-64.74648333,45.2596,NA,Plan,6,SB,42.34124066623654,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-65.23333333,45.16666667,-64.825,45.31166667,NA,Plan,6,SB,35.84707290841503,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-64.69133333,45.22458333,-64.55,45.26375,NA,Plan,6,SB,11.904658471060143,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-64.71328333,45.23928333,-64.55,45.28528333,NA,Plan,6,SB,13.780556678899798,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-64.73521667,45.25396667,-64.55,45.3068,NA,Plan,6,SB,15.65457707220891,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-64.75716667,45.26866667,-64.55,45.32833333,NA,Plan,6,SB,17.52902561099528,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.08375,-64.7334,45.25093333,NA,Plan,6,SB,43.426903901440056,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.15481667,-64.81191667,45.302983330000004,NA,Plan,6,SB,36.92712290561969,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.05,45.25,-64.83333333,45.31666667,NA,Plan,6,SB,18.522072044965643,NA,NA,NA,NA,NA,NA
