Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-59.38687324,0.0040861346707339,45.326503843
BP,T02,-35.5,-59.83313213,0.00368711588014167,38.48111488
C1,T01,-35.5,-61.21645286,0.00268135745398672,46.893223612
C1,T02,-35.5,-59.46468948,0.00401357194224987,40.12225448
LM,T01,-35.5,-48.78321774,0.046954608735652,47.883446633
LM,T02,-35.5,-60.79695013,0.00295328246637932,41.51787433
MS,T01,-35.5,-62.53990433,0.0019770131909228,47.003043514
MS,T02,-35.5,-62.62251787,0.00193976095379443,38.24428375
SL,T01,-35.5,-60.61656472,0.00307853097745064,43.492304468
SL,T02,-35.5,-62.18000054,0.00214783020707018,37.8079179
