Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2024-08-11T19:35:58Z,2024-08-11T22:27:39Z,-65.23539807,45.06116781,-64.77935827,45.215609,39.92270114,Actual,8,SB,39.92270114,2024-08-11T19:35:58Z,2024-08-11T22:27:39Z,171.68333333333334,7.533573767981515,2024,2024-08-11
BP,T02,2024-08-11T22:45:52Z,2024-08-12T00:44:45Z,-64.8051822,45.26132482,-65.21763592,45.11973293,36.06886428,Actual,8,SB,36.06886428,2024-08-11T22:45:52Z,2024-08-12T00:44:45Z,118.88333333333333,9.829258536665527,2024,2024-08-11
C1,T01,2024-08-11T19:42:04Z,2024-08-11T22:49:30Z,-65.23469349,45.07206367,-64.72732801,45.24546677,46.030307635,Actual,8,SB,46.030307635,2024-08-11T19:42:04Z,2024-08-11T22:49:30Z,187.43333333333334,7.956211381221625,2024,2024-08-11
C1,T02,2024-08-11T23:08:03Z,2024-08-12T01:42:26Z,-64.78682704,45.28150077,-65.23739373,45.12892625,40.30792618,Actual,8,SB,40.30792618,2024-08-11T23:08:03Z,2024-08-12T01:42:26Z,154.38333333333333,8.458615915549087,2024,2024-08-11
LM,T01,2024-08-11T19:25:25Z,2024-08-11T22:32:21Z,-65.23613494,45.04924189,-64.69520085,45.22642559,47.322396761,Actual,8,SB,47.322396761,2024-08-11T19:25:25Z,2024-08-11T22:32:21Z,186.93333333333334,8.201423655483438,2024,2024-08-11
LM,T02,2024-08-11T22:50:19Z,2024-08-12T01:35:05Z,-64.75571807,45.26522636,-65.23334595,45.10313138,41.92756786,Actual,8,SB,41.92756786,2024-08-11T22:50:19Z,2024-08-12T01:35:05Z,164.76666666666665,8.244030296275787,2024,2024-08-11
MS,T01,2024-08-11T19:41:27Z,2024-08-11T22:49:52Z,-65.21470197,45.04250682,-64.74576704,45.19596432,42.88745966,Actual,8,SB,42.88745966,2024-08-11T19:41:27Z,2024-08-11T22:49:52Z,188.41666666666669,7.374290985006139,2024,2024-08-11
MS,T02,2024-08-11T23:10:35Z,2024-08-12T01:43:28Z,-64.7723329,45.24371167,-65.22902706,45.08954706,41.33134081,Actual,8,SB,41.33134081,2024-08-11T23:10:35Z,2024-08-12T01:43:28Z,152.88333333333333,8.758477435965379,2024,2024-08-11
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,8,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-65.23333333,45.03636667,-64.68106667,45.21621667,NA,Plan,8,SB,47.77303993942598,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.04966259,-64.69575374,45.22595646,NA,Plan,8,SB,46.552229898397975,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.0629585,-64.71044082,45.23569626,NA,Plan,8,SB,45.332208389638986,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-65.23333333,45.07625442,-64.72512789,45.24543605,NA,Plan,8,SB,44.113003869599815,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-65.23333333,45.08955034,-64.73981497,45.25517585,NA,Plan,8,SB,42.894648487952395,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.10284626,-64.75450204,45.26491565,NA,Plan,8,SB,41.67717905891428,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.11614218,-64.76918912,45.27465544,NA,Plan,8,SB,40.46063380733651,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-65.23333333,45.1294381,-64.78387619,45.28439524,NA,Plan,8,SB,39.24506014072086,NA,NA,NA,NA,NA,NA
