Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,480,-50.4862512,0.031836011,15213,2920,19.19415538,Main Box,10296
NA,0,NA,NA,NA,NA,NA,Northern Box,NA
NA,0,NA,NA,NA,NA,NA,Eastern Box,NA
