Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2024-13,1,1,45 03.27,65 14.81,45 04.09,65 13.89,18:29,18:39,with,6.5,37,Tracey,SW,19,0,22,293541,357632,7,8,10K100766_20240811_220333,45.0533,-65.2077
SB2024-14,1,2,45 02.90,65 13.09,45 03.14,65 12.54,18:45,18:55,against,5.4,129,Tracey,SW,19,0,22,293541,357632,7,8,10K100766_20240811_220333,45.0533,-65.2077
