id,X,Y,PID,POS
1,-64.692,45.217,1,1
2,-64.83,45.287,1,2
3,-64.99,45.228,1,3
4,-64.96,45.2,1,4
5,-65.25,45.09,1,5
6,-65.239,45.025,1,6
