Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2026-07,1,1,43 34.22,66 21.61,43 33.9,66 21.75,18:36,18:46,against,1.6,220,Tracey,SE,21,0,14,326321,358115,13,13,10J101609_20260920_221149,43.5684,-66.36
GB2026-08,1,2,43 33.77,66 21.28,43 34.13,66 21.81,18:55,19:05,with,3.4,326,Tracey,SE,21,0,14,358115,389670,13,13,10J101609_20260920_221149,43.5684,-66.36
