Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-57.00204411,0.00707612651311863,38.240003776
FM,T02,-35.5,-53.19629815,0.0169969182267818,38.13651128
LB,T01,-35.5,-57.62279534,0.00613367083855381,38.872038087
LB,T02,-35.5,-54.57561496,0.0123719599086026,38.63848926
LJ,T01,-35.5,-55.14634904,0.0108483851613665,37.007009791
LJ,T02,-35.5,-55.41938396,0.0101873588391382,37.54641055
TM,T01,-35.5,-55.19952566,0.0107163634384757,37.00562703
TM,T02,-35.5,-55.89172895,0.00913749400435575,37.5612988
FM,T03,-35.5,-53.31073539,0.016554896160005,29.1362073
FM,T04,-35.5,-53.44466187,0.0160521723112697,28.511188
LB,T03,-35.5,-48.86205028,0.046109984050878,29.52756669
LB,T04,-35.5,-42.90055018,0.181947034690714,28.9455571
LJ,T03,-35.5,-54.01912167,0.014063319160953,28.21541903
LJ,T04,-35.5,-56.77151588,0.00746188260214129,28.2732223
TM,T03,-35.5,-56.90274581,0.00723978083012664,28.1595225
TM,T04,-35.5,-55.92406846,0.00906970484366101,27.8348191
