Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2023-03,1,1,66 21.3,43 33.1,66 21.2,43 33.1,19:31,19:41,with,5.8,180,Tracey,W,10,1,15,709734,766003,7,6,10K100766_20230820_230559,43.5678,-66.3578
GB2023-04,1,2,66 21.7,43 33.8,66 21.5,43 34.6,19:51,20:01,against,5.8,0,Tracey,W,10,1,16,766003,829697,7,6,10K100766_20230820_230559,43.5678,-66.3578
