Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-49.35058645,0.0412041875223507,44.683329088
C1,T02,-35.5,-47.94904991,0.0568977390312078,37.87610569
FM,T01,-35.5,-44.78987658,0.117763943979784,42.348607869
FM,T02,-35.5,-36.26188512,0.839095685457499,36.56589651
LJ,T01,-35.5,-46.90049362,0.0724353625214185,48.075598169
LJ,T02,-35.5,-53.52764522,0.0157483652218496,41.86906905
LM,T01,-35.5,-46.00747572,0.0889718104634853,47.944033953
LM,T02,-35.5,-51.62778277,0.0243905572649273,40.42546851
MS,T01,-35.5,-49.51669133,0.0396580053478751,44.686906075
MS,T02,-35.5,-46.67280265,0.0763343013385445,38.95302268
SL,T01,-35.5,-50.74996468,0.0298540689832911,46.82231115
SL,T02,-35.5,-50.14477679,0.034318027743739,39.66890502
BP,T01,-35.5,-51.17812198,0.0270512788990663,8.27313139
BP,T02,-35.5,-44.83523469,0.116540407143424,17.7092038
BP,T03,-35.5,-53.64122542,0.0153418403116506,16.24299155
BP,T04,-35.5,-45.67024826,0.0961557310372111,13.95542347
TM,T01,-35.5,-36.5479647,0.785603717720554,12.051609315
TM,T02,-35.5,-46.12964543,0.0865038540026403,13.60422709
TM,T03,-35.5,-41.18912731,0.269828158227179,15.87551033
TM,T04,-35.5,-48.05760699,0.0554931401990941,17.71976726
