Vessel,Transect.No.,Speed,Transect
LJ,T01,8.232621816628445,T01
LJ,T02,8.375022300463032,T02
LJ,T03,7.947290663380139,T03
LJ,T04,8.123910925225589,T04
MS,T01,8.479881861646884,T01
MS,T02,9.341965759496771,T02
MS,T03,8.972082213754483,T03
MS,T04,9.694197034026667,T04
