Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
LB,43.502,-66.125,43.2475,-66.125
LJ,43.502,-66.13864198,43.2475,-66.13864198
FM,43.502,-66.15228395,43.2475,-66.15228395
BP,43.502,-66.16592593,43.2475,-66.16592593
MS,43.502,-66.1795679,43.2475,-66.1795679
TM,43.502,-66.19320988,43.2475,-66.19320988
LM,43.502,-66.20685185,43.2475,-66.20685185
LB,43.502,-66.22049383,43.2475,-66.22049383
LJ,43.56666667,-66.2341358,43.23333333,-66.2341358
FM,43.56666667,-66.24777778,43.23333333,-66.24777778
BP,43.56666667,-66.26141975,43.23333333,-66.26141975
MS,43.56666667,-66.27506173,43.23333333,-66.27506173
TM,43.56666667,-66.2887037,43.23333333,-66.2887037
LM,43.56666667,-66.30234568,43.23333333,-66.30234568
LB,43.56666667,-66.31598765,43.23333333,-66.31598765
LJ,43.56666667,-66.32962963,43.23333333,-66.32962963
FM,43.56666667,-66.3432716,43.23333333,-66.3432716
BP,43.56666667,-66.35691358,43.23333333,-66.35691358
MS,43.56666667,-66.37055556,43.23333333,-66.37055556
TM,43.56666667,-66.38419753,43.23333333,-66.38419753
LM,43.56666667,-66.39783951,43.23333333,-66.39783951
LB,43.56666667,-66.41148148,43.23333333,-66.41148148
LJ,43.56666667,-66.42512346,43.23333333,-66.42512346
FM,43.56666667,-66.43876543,43.23333333,-66.43876543
BP,43.56666667,-66.45240741,43.23333333,-66.45240741
MS,43.56666667,-66.46604938,43.23333333,-66.46604938
TM,43.56666667,-66.47969136,43.23333333,-66.47969136
LM,43.56666667,-66.49333333,43.23333333,-66.49333333
