Set_Number,Tow_No,No_jars,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2024-05,1,1,65 14.79,45 03.18,65 13.73,45 04.21,18:47,18:57,with,Tracey,NW,24,0.5,16,863527,926786,8.5,7,10K100766_20240602_222429,45.0523,-65.2168
SB2024-06,2,1,65 12.68,45 03.90,65 12.31,45 03.37,19:05,19:15,against,Tracey,NW,24,0.5,16,926786,982864,8.5,7,10K100766_20240602_222429,45.0523,-65.2168
