Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon,
5,1,1,6634.1,4334.0,6621.1,4333.2,19:17,19.27,with,5.6,180,Tracey,SE,14,0.5,16,965677,11733,7,6,10K100766_20230903_224749,43.5704,-66.3575,Depth 26.81m - all the way to the end of the line.
6,1,2,6621.7,4333.7,6621.5,4334.4,19:35,19:45,against,5.4,0,Tracey,SE,14,0.5,16,11733,78413,7,6,10K100766_20230903_224749,43.5704,-66.3575,
