Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-48.51358981,0.0499621385056417,37.2501022
BP,T02,-35.5,-57.15140145,0.00683690987478494,37.0630879
FM,T01,-35.5,-59.12630433,0.00433879935576783,38.14869227
FM,T02,-35.5,-56.61619139,0.00773358496026274,37.9938789
LB,T01,-35.5,-54.78158977,0.0117988864882843,37.949994229
LB,T02,-35.5,-52.09568281,0.0218993749286815,37.33313459
LJ,T01,-35.5,-61.9716539,0.00225338090596459,36.81303604
LJ,T02,-35.5,-46.01275431,0.0888637362348228,37.19364657
LM,T01,-35.5,-56.55221822,0.00784834666901106,38.400932439
LM,T02,-35.5,-53.4022104,0.0162098486538735,37.92744319
MS,T01,-35.5,-56.99737036,0.00708374573225188,38.688057921
MS,T02,-35.5,-52.40643481,0.0203871500335609,38.82132358
TM,T01,-35.5,-60.15988483,0.00341988511543197,37.10847724
TM,T02,-35.5,-54.62081428,0.0122438661149845,36.92570502
BP,T03,-35.5,-57.0123859,0.00705929628488058,28.7624318
BP,T04,-35.5,-43.22312649,0.168922441958659,28.1649754
FM,T03,-35.5,-53.08124678,0.0174532103125644,28.98340332
FM,T04,-35.5,-56.03981302,0.00883117921125985,27.8527056
LB,T03,-35.5,-52.09269348,0.0219144538662593,29.26009464
LB,T04,-35.5,-41.62252173,0.244201218708177,28.9552702
LJ,T03,-35.5,-55.74018706,0.00946196405768179,29.28012894
LJ,T04,-35.5,-41.33053494,0.261183962257949,28.330757
LM,T03,-35.5,-47.39925543,0.0645764931795374,29.5768978
LM,T04,-35.5,-54.25285876,0.0133264392543459,29.7244504
MS,T03,-35.5,-49.63300356,0.0386099859867816,29.51161829
MS,T04,-35.5,-55.93056807,0.00905614136148782,28.3701438
TM,T03,-35.5,-52.86469117,0.0183455561907866,28.5673213
TM,T04,-35.5,-48.72060774,0.0476364321001042,27.9595403
