Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-54.31064592,0.0131502923522119,46.415914891
BP,T02,-35.5,-52.85071712,0.0184046807280004,37.41337179
C1,T01,-35.5,-56.49916771,0.00794480475847848,43.17383689
C1,T02,-35.5,-57.15162524,0.00683655758096027,36.30013018
LJ,T01,-35.5,-54.41340246,0.0128428010240681,42.226233646
LJ,T02,-35.5,-47.1585228,0.0682570822847314,37.65116515
TM,T01,-35.5,-62.54815854,0.00197325924402976,48.044993596
TM,T02,-35.5,-57.59848359,0.00616810333651749,43.31807727
LB,T01,-35.5,-57.29029393,0.00662171686482478,18.62162254
LB,T02,-35.5,-57.57576314,0.00620045679976836,17.41543778
LB,T03,-35.5,-57.08739593,0.00693841715241344,16.04689482
LB,T04,-35.5,-55.07195778,0.0110358101839048,14.165684628
SL,T01,-35.5,-68.90101673,0.000456981192888259,11.044750357
SL,T02,-35.5,-61.20942266,0.00268570145222471,13.51407569
SL,T03,-35.5,-55.76505964,0.009407929103987,15.78181101
SL,T04,-35.5,-58.1597558,0.00542031367495893,17.24477524
