Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-52.95949839,0.0179494093048566,41.241458829
BP,T02,-35.5,-50.1574064,0.0342183733108397,33.09905513
FM,T01,-35.5,-51.67341691,0.024135611634393,43.351176364
FM,T02,-35.5,-50.27485295,0.0333054039165663,36.3020403
LB,T01,-35.5,-56.34698033,0.00822814557938745,47.21099998
LB,T02,-35.5,-53.61678434,0.0154284240167744,38.54644198
LJ,T01,-35.5,-60.81442765,0.00294142131358349,47.02932315
LJ,T02,-35.5,-49.90702954,0.0362490847849141,40.48587098
LM,T01,-35.5,-50.08368963,0.0348041504228432,44.919744366
LM,T02,-35.5,-49.69954884,0.038022889375027,38.61342152
MS,T01,-35.5,-47.75549153,0.0594909421715933,53.090754191
MS,T02,-35.5,-47.2250089,0.0672200931568294,43.00110876
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
