id,FlowmeterType,FlowReading1,FlowReading2,NoRevs,DistanceCalc,Volume
SB2021-15,GeneralOceanics,NA,NA,#VALUE!,#VALUE!,#VALUE!
GB2021-07,GeneralOceanics,NA,NA,#VALUE!,#VALUE!,#VALUE!
GB2021-08,GeneralOceanics,NA,NA,#VALUE!,#VALUE!,#VALUE!
GB2021-09,GeneralOceanics,NA,NA,#VALUE!,#VALUE!,#VALUE!
GB2021-10,GeneralOceanics,NA,NA,#VALUE!,#VALUE!,#VALUE!
SB2022-01,GeneralOceanics,494230,525428,31198,838.3846924,658.4652414
SB2022-02,GeneralOceanics,525428,562549,37121,997.5536306,783.4761276
SB2022-03,GeneralOceanics,562755,601136,38381,1031.413644,810.0696978
SB2022-04,GeneralOceanics,601136,653117,51981,1396.88681,1097.111408
SB2022-05,GeneralOceanics,653190,686507,33317,895.3286363,703.1888727
SB2022-06,GeneralOceanics,686507,727270,40763,1095.425194,860.3442091
SB2022-07,GeneralOceanics,727294,757308,30014,806.5670286,633.4757278
SB2022-08,GeneralOceanics,757308,831626,74318,1997.149611,1568.556312
SB2022-09,GeneralOceanics,831689,855776,24087,647.2905983,508.3804177
SB2022-10,GeneralOceanics,855776,896114,40338,1084.004158,851.3741557
SB2022-11,GeneralOceanics,896175,924397,28222,758.4105644,595.6537613
SB2022-12,GeneralOceanics,924397,960589,36192,972.5885886,763.868646
GB2022-01,GeneralOceanics,960584,985785,25201,677.2271502,531.8925107
GB2022-02,GeneralOceanics,985785,1008107,22322,599.8597059,471.1283133
GB2022-03,GeneralOceanics,11518,18860,7342,197.3017633,154.9603116
SB2022-13,GeneralOceanics,18873,29679,10806,290.3899284,228.0715238
SB2022-14,GeneralOceanics,29679,70707,41028,1102.546547,865.9373013
GB2022-04,GeneralOceanics,70715,101253,30538,820.6484946,644.5352761
GB2022-05,GeneralOceanics,101253,126884,25631,688.7825518,540.9680942
SB2022-15,GeneralOceanics,126884,139854,12970,348.5431585,273.7449254
SB2022-16,GeneralOceanics,139854,167454,27600,741.6955417,582.5258242
GB2022-06,GeneralOceanics,167750,189732,21982,590.7228767,463.9522706
GB2022-07,GeneralOceanics,189732,224990,35258,947.4891815,744.1556344
SB2022,NA,NA,NA,#VALUE!,,
SB2022,NA,NA,NA,#VALUE!,,
GB2022-08,GeneralOceanics,224993,240979,15986,429.5922076,337.4006459
GB2022-09,GeneralOceanics,240979,254146,13167,353.8371448,277.902809
GB2022-10,GeneralOceanics,254251,265040,10789,289.9330869,227.7127216
GB2022-11,GeneralOceanics,265040,270456,5416,145.5443135,114.31014
SB2023-01,GeneralOceanics,273230,297875,24645,662.2857473,520.1575702
SB2023-02,GeneralOceanics,297875,316516,18641,500.9400939,393.4370974
SB2023-03,GeneralOceanics,316522,339043,22521,605.2074382,475.3284089
SB2023-04,GeneralOceanics,339043,374441,35398,951.2514053,747.1104756
SB2023-05,GeneralOceanics,374505,398897,24392,655.4868715,514.8177501
SB2023-06,GeneralOceanics,398897,428899,30002,806.2445522,633.2224557
NA,NA,NA,NA,#VALUE!,,
NA,NA,NA,NA,#VALUE!,,
SB2023-07,GeneralOceanics,429076,443078,14002,376.2761223,295.5263257
SB2023-08,GeneralOceanics,443078,483578,40500,1088.357588,854.793329
SB2023-09,GeneralOceanics,483783,504183,20400,548.2097482,430.5625657
SB2023-10,GeneralOceanics,504183,540202,36019,967.9395549,760.2173066
GB2023-01,GeneralOceanics,540248,563471,23223,624.0723031,490.1448267
GB2023-02,GeneralOceanics,563471,600019,36548,982.1553862,771.3823849
SB2023-11,GeneralOceanics,600052,650367,50315,1352.116347,1061.948799
SB2023-12,GeneralOceanics,650367,709731,59364,1595.290367,1252.937066
GB2023-03,GeneralOceanics,709734,766003,56269,1512.118349,1187.613971
GB2023-04,GeneralOceanics,766003,829697,63694,1711.650574,1344.326081
SB2023-13,GeneralOceanics,829707,885393,55686,1496.451374,1175.309168
SB2023-14,GeneralOceanics,885393,965658,80265,2156.963502,1694.073742
GB2023-05,GeneralOceanics,11733,78413,66680,1791.893432,1407.348622
GB2023-06,GeneralOceanics,78413,96577,18164,488.1216601,383.3695316
SB2023-15,GeneralOceanics,78434,139742,61308,1647.531532,1293.967146
SB2023-16,GeneralOceanics,139742,213070,73328,1970.545315,1547.661364
GB2023-07,GeneralOceanics,213098,265770,52672,1415.456071,1111.69566
GB2023-08,GeneralOceanics,265770,320580,54810,1472.910603,1156.820305
SB2023-17,GeneralOceanics,320581,377915,57334,1540.738123,1210.09187
SB2023-18,GeneralOceanics,377915,438683,60768,1633.020097,1282.569902
GB2023-09,GeneralOceanics,438682,485146,46464,1248.628321,980.6695615
GB2023-10,GeneralOceanics,485146,531610,46464,1248.628321,980.6695615
SB2023-19,GeneralOceanics,531588,554898,23310,626.4102564,491.9810494
SB2023-20,GeneralOceanics,554898,594023,39125,1051.407176,825.7725678
GB2023-11,GeneralOceanics,594023,616254,22231,597.4142604,469.2076666
GB2023-12,GeneralOceanics,616254,645863,29609,795.6834527,624.9277945
GB2023-13,GeneralOceanics,645903,666985,21082,566.5371525,444.9568633
GB2023-14,GeneralOceanics,666985,680588,13603,365.5537846,287.1050285
SB2024-01,GeneralOceanics,690652,742785,52133,1400.97151,1100.319522
SB2024-02,GeneralOceanics,742785,809001,66216,1779.424347,1397.555434
SB2024-03,GeneralOceanics,806021,863503,57482,1544.715331,1213.215559
SB2024-04,GeneralOceanics,863503,863508,5,0.134365134,0.105530041
SB2024-05,GeneralOceanics,863527,926786,63259,1699.960807,1335.144968
SB2024-06,GeneralOceanics,926786,982864,56078,1506.985601,1183.582724
SB2024-07,GeneralOceanics,7845,40725,32880,883.5851236,693.9655471
SB2024-08,GeneralOceanics,40725,982880,942155,25318.55663,19885.13108
SB2024-09,GeneralOceanics,47495,98838,51343,1379.741819,1083.645775
SB2024-10,GeneralOceanics,98838,157450,58612,1575.081851,1237.065348
NA,NA,NA,NA,#VALUE!,,
NA,NA,NA,NA,#VALUE!,,
SB2024-11,GeneralOceanics,157440,199550,42110,1131.623162,888.7740021
SB2024-12,GeneralOceanics,199550,236886,37336,1003.331331,788.0139193
GB2024-01,GeneralOceanics,236916,263486,26570,714.016324,560.7866358
GB2024-02,GeneralOceanics,263486,293230,29744,799.3113113,627.7771056
SB2024-13,GeneralOceanics,293541,357632,64091,1722.319165,1352.705167
SB2024-14,GeneralOceanics,293541,357632,64091,1722.319165,1352.705167
GB2024-01,GeneralOceanics,236916,263486,26570,714.016324,560.7866358
GB2024-02,GeneralOceanics,263486,293230,29744,799.3113113,627.7771056
GB2024-03,GeneralOceanics,435080,478545,43465,1168.036113,917.3726431
GB2024-04,GeneralOceanics,478545,544511,65966,1772.706091,1392.278932
NA,NA,NA,NA,#VALUE!,,
NA,NA,NA,NA,#VALUE!,,
SB2024-15,GeneralOceanics,544521,575434,30913,830.7258797,652.4500291
SB2024-16,GeneralOceanics,575434,599444,24010,645.2213752,506.755255
SB2024-17,GeneralOceanics,599420,665543,66123,1776.925156,1395.592575
SB2024-18,GeneralOceanics,665543,725094,59551,1600.315623,1256.88389
GB2024-05,GeneralOceanics,725125,788900,63775,1713.827289,1346.035668
GB2024-06,GeneralOceanics,799198,862762,63564,1708.15708,1341.5823
SB2023-19,GeneralOceanics,862772,894742,31970,859.1306691,674.7590797
SB2024-20,GeneralOceanics,894742,931393,36651,984.9233079,773.5563037
GB2024-07,GeneralOceanics,931518,964610,33092,889.2822053,698.4400208
GB2024-08,GeneralOceanics,964610,980257,15647,420.4822515,330.2457091
GB2024-09,GeneralOceanics,979039,1004827,25788,693.001617,544.2817375
GB2024-10,GeneralOceanics,4828,42367,37539,1008.786556,792.2984389
GB2024-11,GeneralOceanics,42673,94322,51649,1387.964965,1090.104214
GB2024-12,GeneralOceanics,94322,136936,42614,1145.167167,899.4114302
