Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,826,-56.3742474,0.008157871,6753.910594,920.2361453,13.62523434,German Bank,2138
-35.5,274,-52.84591813,0.017590286,5048.458031,1184.232695,23.45731483,Seal Island,2138
NA,NA,NA,NA,NA,NA,NA,School Survey,2138
