Length (cm),29-06-2026,30-06-2026,11-08-2026,Total
17.5,0,0,0,0
18,0,0,0,0
18.5,0,0,0,0
19,0,0,0,0
19.5,0,0,0,0
20,0,0,0,0
20.5,1,0,0,1
21,5,1,0,6
21.5,2,0,0,2
22,10,3,0,13
22.5,22,5,0,27
23,37,9,6,52
23.5,43,17,34,94
24,54,63,61,178
24.5,35,61,75,171
25,33,56,80,169
25.5,26,61,66,153
26,13,45,45,103
26.5,18,30,23,71
27,5,8,13,26
27.5,5,5,8,18
28,3,2,7,12
28.5,0,0,6,6
29,2,0,3,5
29.5,0,1,1,2
30,0,0,0,0
30.5,0,0,0,0
31,0,0,0,0
31.5,0,0,0,0
32,0,0,0,0
