Vessel,Start Lat,Start Lon,End Lat,End Lon
Brunswick Provider,4514.419994,6503,4518.539994,6449.408
Brunswick Provider,4515.371994,6503,4519.142663,6450.431998
Brunswick Provider,4516.323994,6503,4519.745331,6451.455996
Brunswick Provider,4517.275994,6503,4520.348,6452.479994
Canada 100,4505.024909,6514,4515.055545,6444.004364
Canada 100,4509.289273,6514,4518.179364,6448.714909
Fundy Monarch,4505.735636,6514,4515.576182,6444.789455
Fundy Monarch,4510,6514,4518.7,6449.5
Lady Janice,4502.182,6514,4512.973,6440.864
Lady Janice,4506.446364,6514,4516.096818,6445.574545
Lady Melissa,4502.892727,6514,4513.493636,6441.649091
Lady Melissa,4507.157091,6514,4516.617455,6446.359636
Morning Star,4504.314182,6514,4514.534909,6443.219273
Morning Star,4508.578545,6514,4517.658727,6447.929818
Sealife II,4503.603455,6514,4514.014273,6442.434182
Sealife II,4507.867818,6514,4517.138091,6447.144727
Tasha Marie,4513.475,6441.48,4515.825,6433
Tasha Marie,4514.356667,6442.796667,4517.116667,6433
Tasha Marie,4515.238333,6444.113333,4518.408333,6433
Tasha Marie,4516.12,6445.43,4519.7,6433
