Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-58.44965777,0.0050703066141107,46.446642568
FM,T02,-35.5,-55.8831567,0.00915554770782649,38.82755185
LJ,T01,-35.5,-59.38086143,0.00409179490278695,42.739317689
LJ,T02,-35.5,-52.43289836,0.0202632995219166,36.28671818
LM,T01,-35.5,-57.96977758,0.00566268289215092,44.485200757
LM,T02,-35.5,-51.52389369,0.0249810466852561,37.61795707
MS,T01,-35.5,-56.95237497,0.00715751889201675,51.45150272
MS,T02,-35.5,-55.45586419,0.0101021446087962,44.77242486
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
