Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-46.55565145,0.0784214476392804,38.65297199
BP,T02,-35.5,-38.18106662,0.539378135876494,37.16413089
LM,T01,-35.5,-51.66449203,0.0241852620288993,42.417272
LM,T04,-35.5,-52.19161764,0.0214209257577148,46.8036526
MS,T01,-35.5,-39.6047848,0.38861675407138,36.684778152
MS,T02,-35.5,-51.52089546,0.0249982987542058,18.96136724
MS,T03,-35.5,-49.5063566,0.039752490274387,17.60080496
MS,T04,-35.5,-50.57027091,0.0311152223637119,16.06511372
MS,T05,-35.5,-50.57321584,0.0310941304330121,14.4068101
LM,T02,-35.5,-61.77802288,0.00235612166111078,15.7889055
LM,T03,-35.5,-55.73028044,0.00948357222392334,17.7821028
