Set_Number,No_jars,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2024-01,1,65 15 17,45 02 16,65 13 73,45 02 98,18:58,19:08,with,Tracey,S,10,0.5,9,690652,742785,7,6,10K100766_20240505_224431,45.0556,-65.2061
SB2024-01,1,65 12 80,45 03 71,65 10 59,45 04 07,19:17,19:27,against,Tracey,S,10,0.5,9,742785,809001,7,6,10K100766_20240505_224431,45.0556,-65.2061
