Vessel,Start Lat,Start Lon,End Lat,End Lon
FM,,,,
FM,,,,
LJ,,,,
LJ,,,,
LM,,,,
LM,,,,
C1,,,,
C1,,,,
MS,,,,
MS,,,,
MS,,,,
MS,,,,
LB,,,,
LB,,,,
BP,,,,
BP,,,,
BP,,,,
BP,,,,
SL,,,,
SL,,,,
