Plant,Method ,Date,Vessel,Lat,Lon,Ground,Fat,FishLength(cm),FishWeight(g)
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,11,25.4,129
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,11,25.4,144
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,9.6,22.86,98
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,9.6,22.86,94
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,13.2,22.86,107
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,13.2,22.86,109
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,12,25.4,168
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,12.6,27.94,171
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,12.2,27.94,205
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,10.4,25.4,125
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,10.4,25.4,133
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,11.2,25.4,144
Sea Life,1,21-May-20,Sealife II,43.19,-64.44,Offshore Banks,11.2,27.94,154
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,11.8,25.4,129
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,11.8,25.4,122
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,12.4,25.4,132
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,12.4,22.86,124
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,13,25.4,134
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,13,22.86,120
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,9.4,22.86,91
Sea Life,1,02-Jun-20,Lady Melissa,43.38,-66.35,German Bank,9.4,22.86,89
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,11.2,25.4,132
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,11.2,22.86,108
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,13.6,25.4,116
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,13.6,22.86,115
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,9.6,25.4,130
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,9.6,25.4,131
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,10.2,22.86,95
Sea Life,1,02-Jun-20,Sealife II,43.38,-66.35,German Bank,10.2,25.4,99
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,13.6,22.86,105
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,13,22.86,109
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,11.6,22.86,89
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,11.6,25.4,105
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,10.6,22.86,117
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,10.6,25.86,108
Sea Life,1,04-Jun-20,Lady Melissa,43.35,-66.36,Gannet Dry Ledge,15.2,22.86,117
