Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
7,Patch,Tasha Marie,Fillet,8:12,,6-27-2017 18:00,8,32.7,23.8,21.1,21.3,21.1,16.5,21.7,18.7,22.1
8,Patch,Tasha Marie,Fillet,8:12,,6-27-2017 18:00,8,19.3,22.3,19.7,22.7,21.2,23,20.9,21.3,21.3
9,Patch,Tasha Marie,Fillet,8:12,,6-27-2017 18:01,8,19.7,18.4,16.8,27.7,17.1,21.5,13.8,21.8,19.6
10,Patch,Tasha Marie,Fillet,8:12,,6-27-2017 18:01,8,20.7,20.4,12.8,24.8,16.6,19.5,22.7,25.1,20.3
11,Patch,Tasha Marie,Fillet,8:12,,6-27-2017 18:02,8,21.1,24.7,19.7,21.5,20.1,20.1,22.2,19.4,21.1
12,Patch,Morning Star,Fillet,10:20,,6-27-2017 20:18,8,20,23.4,16.4,17.2,20.1,19.5,23.8,24.4,20.6
13,Patch,Morning Star,Fillet,10:20,,6-27-2017 20:18,8,16.2,18.2,18.2,20.1,23.4,23,17.2,20.9,19.7
14,Patch,Morning Star,Fillet,10:20,,6-27-2017 20:19,8,11.4,15.9,17.5,21.1,17.7,14.2,20.9,23.6,17.8
15,Patch,Morning Star,Fillet,10:20,,6-27-2017 20:19,8,22.7,16.5,23.1,21.1,16.2,23.2,24.2,18.7,20.7
16,Patch,Morning Star,Fillet,10:20,,6-27-2017 20:20,8,23.6,14,15.4,22.6,21.5,23.6,22.1,23.9,20.8
17,Patch,Morning Star,Fillet,8:12,,6-27-2017 20:21,8,18.4,22.9,19.3,16.6,23.4,22.5,24.6,22.3,21.3
18,Patch,Morning Star,Fillet,8:12,,6-27-2017 20:21,8,21.9,21.9,17.3,22.7,20.4,19.7,22.2,15.3,20.2
19,Patch,Morning Star,Fillet,8:12,,6-27-2017 20:22,8,13.3,18.5,19.7,23.8,19.1,19.6,16.8,20.8,19
20,Patch,Morning Star,Fillet,8:12,,6-27-2017 20:23,8,20.9,19.5,16.9,24.4,10.7,24.1,22.5,19.7,19.8
21,Patch,Morning Star,Fillet,8:12,,6-27-2017 20:23,8,21.3,22.3,21.9,22.1,21.5,22.9,18.6,19.6,21.3
1,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 14:44,8,22.8,21.4,21.2,17,17.4,18,22.9,22.1,20.4
2,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 14:45,8,17.6,21.1,20.2,19.2,18.2,13.2,21.6,12.2,17.9
3,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 14:46,8,15.2,20.6,23.1,20.4,2.6,19.1,18,18,17.1
4,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 14:46,8,10.5,16.5,17,22.5,20.8,23.6,21.7,20.5,19.1
5,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 14:47,8,23.2,23.1,18,14.2,14,9.1,17.3,22.3,17.7
6,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 15:35,8,27.3,37.1,26.9,28.9,19.1,22.8,2.2,26.4,23.8
7,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 15:36,8,15.8,19.9,20.7,18,17.8,19.7,16.8,11.6,17.5
8,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 15:38,8,24.5,16.7,11.4,11.3,12,16.5,20.3,17.6,16.3
9,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 15:39,8,30.3,17.4,10.5,34.8,12.5,10.5,23.1,23.4,20.3
10,Patch,Tasha Marie,Fillet,8:10,,6-28-2017 15:40,8,21.1,23.4,21.5,18.6,12.7,20.7,18.4,21.5,19.7
11,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:01,8,14.8,21.6,18.8,22.9,21.7,22.4,17,16.4,19.5
12,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:02,8,16.6,12.6,17.4,22.2,21.4,21.2,19.8,19.5,18.8
13,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:02,8,17.6,19.8,12.1,19.8,20.1,21.9,20.7,21.9,19.2
14,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:03,8,21.7,16.8,23.4,15.1,20.7,21.8,16.6,23.8,20
15,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:04,8,24.1,24.5,17.1,18.3,23.5,12.8,19.5,18.7,19.8
16,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:19,8,23.4,16.4,22.6,21.2,20.1,20.6,23.7,26.4,21.8
17,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:20,8,17.2,21.5,21.8,21,20.7,22,22.9,9.8,19.6
18,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:21,8,23.3,23.9,19.4,18.4,20.1,21.1,23.2,25.5,21.9
19,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:22,8,23.4,23.1,18.2,23.8,13,22.6,22.3,13.6,20
20,Patch,Morning Star,Fillet,10:16,,6-28-2017 18:22,8,19.5,21.5,24.9,19.9,19.2,17.6,22.1,18,20.3
1,Scots Bay,Leroy and Barry,Fillet,Unknown,,07-03-2017 9:03,8,1.9,1.7,4.1,7.6,2.6,5.5,3.8,4.2,3.9
2,Scots Bay,Leroy and Barry,Fillet,Unknown,,07-03-2017 9:04,8,11.1,5.3,7.5,1.7,8.7,13.7,1.1,5.9,6.9
3,Scots Bay,Leroy and Barry,Fillet,Unknown,,07-03-2017 9:05,8,1.3,1.9,2.4,6,4,5.1,3.8,8.8,4.2
4,Scots Bay,Leroy and Barry,Fillet,Unknown,,07-03-2017 9:06,8,2,7.9,3.7,2.1,6.1,9.2,2.4,1.9,4.4
5,Scots Bay,Leroy and Barry,Fillet,Unknown,,07-03-2017 9:07,8,7.2,1.8,6.7,4.2,5.6,4.8,2.5,2.5,4.4
1,Patch,Tasha Marie,Fillet,10:16,,07-05-2017 13:33,8,19.7,11,17.7,10.5,1.1,6.6,11.2,12.1,11.2
2,Patch,Tasha Marie,Fillet,10:16,,07-05-2017 13:34,8,13.1,3.6,11.2,13,17,12.7,1.5,10.7,10.4
3,Patch,Tasha Marie,Fillet,10:16,,07-05-2017 13:35,8,17.6,14.9,13.5,14.7,17.4,13.3,7.7,16.4,14.4
4,Patch,Tasha Marie,Fillet,10:16,,07-05-2017 13:36,8,19.2,13.3,18.3,16.6,18.6,19.8,15.4,19,17.5
5,Patch,Tasha Marie,Fillet,10:16,,07-05-2017 13:37,8,20.7,3,1.9,21.1,12.6,17.4,14.4,10.6,12.7
6,Patch,Tasha Marie,Fillet,8:12,,07-05-2017 14:09,8,12.7,16.8,20.1,18.7,20.1,21.5,12.9,21.4,18
7,Patch,Tasha Marie,Fillet,8:12,,07-05-2017 14:10,8,14.6,21.6,22.7,13.1,15.9,12.8,16.5,18,16.9
8,Patch,Tasha Marie,Fillet,8:12,,07-05-2017 14:11,8,18.3,17.5,23.1,22.9,17.8,17.3,11.7,20.4,18.6
9,Patch,Tasha Marie,Fillet,8:12,,07-05-2017 14:12,8,15.3,18.1,19.8,12.1,17.5,2.1,11.5,20.9,14.7
10,Patch,Tasha Marie,Fillet,8:12,,07-05-2017 14:13,8,18.9,17.9,11.4,14.7,19.1,19.2,18.2,6.6,15.8
11,Patch,Morning Star,Fillet,10:16,,07-05-2017 17:36,8,18,12.3,0.8,12.3,11.6,5.1,16.9,1.9,9.9
12,Patch,Morning Star,Fillet,10:16,,07-05-2017 17:38,8,16.4,16.6,19.3,20.5,12.9,18.4,20,18.5,17.8
13,Patch,Morning Star,Fillet,10:16,,07-05-2017 17:38,8,18.5,10.5,5.7,13.9,12,7.4,18,10,12
14,Patch,Morning Star,Fillet,10:16,,07-05-2017 17:40,8,11.4,12.6,15.1,12.2,12.1,10.5,18.7,7.4,12.5
15,Patch,Morning Star,Fillet,10:16,,07-05-2017 17:41,8,12.7,18.2,16.5,13.1,14.6,15.4,18,14.6,15.4
16,Patch,Morning Star,Fillet,8:12,,07-05-2017 17:44,8,20.1,20.7,11.9,21,19.4,16.1,16.2,17.4,17.9
17,Patch,Morning Star,Fillet,8:12,,07-05-2017 17:45,8,14.5,9.4,19.5,16.8,12.5,5.5,14,17.2,13.7
18,Patch,Morning Star,Fillet,8:12,,07-05-2017 17:46,8,14.6,13.7,17.6,12.8,10.3,10.8,6.5,14.8,12.6
19,Patch,Morning Star,Fillet,8:12,,07-05-2017 17:47,8,9.9,22.3,15.8,19.1,5.9,17.4,12.1,11.6,14.3
20,Patch,Morning Star,Fillet,8:12,,07-05-2017 17:47,8,19.2,17.8,18.4,21,13.9,18.3,18.7,19.5,18.4
23,Patch,Tasha Marie,Fillet,8:12,,07-06-2017 18:27,8,16.8,14.8,18.9,21.1,17.9,17.9,17.2,17.3,17.7
24,Patch,Tasha Marie,Fillet,8:12,,07-06-2017 18:27,8,17.7,19.2,17.4,19.5,21.9,15.3,16.4,18.3,18.2
25,Patch,Tasha Marie,Fillet,8:12,,07-06-2017 18:28,8,18.6,22,17.3,13.3,16.8,17.8,16.4,20.2,17.8
26,Patch,Tasha Marie,Fillet,8:12,,07-06-2017 18:29,8,17,19.4,24.9,14.6,20.2,11.9,18.6,21,18.5
27,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:30,8,21,2.1,19.6,16.6,4.2,1.6,0.9,0.9,8.4
28,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:30,8,20.2,23,21.5,19.5,17.8,13.5,5.6,1.4,15.3
29,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:31,8,20.3,21.8,17,12.6,16.6,13.3,0.8,19.7,15.3
30,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:32,8,20.7,2.8,15.9,0.4,15.8,13.3,18.5,0.3,11
31,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:33,8,23.1,17.2,4.2,12.7,3.3,11.2,12.6,15.2,12.4
32,Patch,Tasha Marie,Fillet,10:16,,07-06-2017 18:34,8,3.2,16.4,10.7,1.2,0.5,21,17.3,20,11.3
33,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:35,8,9.8,19.4,18.1,18.9,15.3,0.8,21.1,14.1,14.7
34,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:36,8,17.7,9.2,22.2,1.6,16.9,21.4,18.2,19.3,15.8
35,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:37,8,23.1,1,19.2,16.5,11.6,13.2,21.2,21.7,15.9
36,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:37,8,15.2,17,16.7,19.5,21.1,19.6,19.9,20.3,18.7
37,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:38,8,11,11.2,4.6,12.5,22.3,14.8,11.6,20,13.5
38,Patch,Morning Star,Fillet,Unknown,,07-06-2017 18:39,8,12.5,20.3,19.8,17.6,16.2,10.9,1.1,2.9,12.7
1,Patch,Tasha Marie,Fillet,10:16,,07-07-2017 12:33,8,17.2,2,8.8,6.1,16.4,17.5,10.9,9.7,11.1
2,Patch,Tasha Marie,Fillet,10:16,,07-07-2017 12:34,8,8.3,7,8.7,2.1,18.5,3.7,9.8,12.6,8.8
3,Patch,Tasha Marie,Fillet,10:16,,07-07-2017 12:35,8,13.1,9.5,13.8,9.6,12.1,2.7,18,10.2,11.1
4,Patch,Tasha Marie,Fillet,10:16,,07-07-2017 12:35,8,13.7,11.3,18.4,7,9.8,14.6,3.3,15.9,11.8
5,Patch,Tasha Marie,Fillet,10:16,,07-07-2017 12:37,8,10.2,14,11,1.8,13.2,13.6,12.5,4.6,10.1
6,Patch,Tasha Marie,Fillet,8:12,,07-07-2017 13:53,8,18.8,17.1,11.6,13.8,12.1,15.4,8.1,18.6,14.4
7,Patch,Tasha Marie,Fillet,8:12,,07-07-2017 13:54,8,12.6,6.4,11.6,20.4,19.7,11.4,19.4,20.6,15.3
8,Patch,Tasha Marie,Fillet,8:12,,07-07-2017 13:55,8,9.9,19.7,11,16.3,16.6,8.6,10.5,20,14.1
9,Patch,Tasha Marie,Fillet,8:12,,07-07-2017 13:55,8,7.3,17,13.3,9.8,16.9,17.1,15.8,15.9,14.1
10,Patch,Tasha Marie,Fillet,8:12,,07-07-2017 13:57,8,21.5,5.1,9.8,16.6,13.8,17,18.7,16.8,14.9
1,Grand Manan,Leroy and Barry,Bait,,21-23,7-17-2017 10:17,8,4.6,2.6,3.4,2.6,5.3,4.6,2.5,5.3,3.9
2,Grand Manan,Leroy and Barry,Bait,,21-23,7-17-2017 10:17,8,3.4,2.1,4.8,9.5,6.4,3,1,4.2,4.3
3,Grand Manan,Leroy and Barry,Bait,,21-23,7-17-2017 10:18,8,2.8,7.1,5.3,2,2.5,1.8,14.8,1.8,4.8
4,Grand Manan,Leroy and Barry,Bait,,21-23,7-17-2017 10:19,8,4,2.4,4.3,11.2,2.2,0.9,1.9,14.6,5.2
5,Grand Manan,Leroy and Barry,Bait,,21-23,7-17-2017 10:19,8,11.1,1.7,4.8,9.5,4.9,5.7,5.3,2.7,5.7
1,Lurcher,Leroy and Barry,Bait,,21-23,7-14-2017 7:35,8,12.3,11.6,10.7,11.8,8,2.7,4.4,1.4,7.9
2,Lurcher,Leroy and Barry,Bait,,21-23,7-14-2017 7:37,8,9.2,10.2,8.2,0.8,6.8,7.1,5.9,2.2,6.3
3,Lurcher,Leroy and Barry,Bait,,21-23,7-14-2017 7:38,8,12.9,7,1.1,21.1,13,17.2,2.6,16.3,11.4
4,Lurcher,Leroy and Barry,Bait,,21-23,7-14-2017 7:39,8,7.2,12.6,11.2,7,4.1,9.4,15.7,7.1,9.3
5,Lurcher,Leroy and Barry,Bait,,21-23,7-14-2017 7:40,8,8.7,3.9,7.4,8.2,11.4,11.8,4.6,8.1,8
6,Unknown,Comeau,Fillet,Unknown,,7-14-2017 10:42,8,8.3,15.2,17,8.7,11.9,6.4,18.5,14.6,12.6
7,Unknown,Comeau,Fillet,Unknown,,7-14-2017 10:42,8,9.4,16.2,12.6,20.7,17.4,13.9,17.2,11,14.8
8,Unknown,Comeau,Fillet,Unknown,,7-14-2017 10:43,8,17.8,11.6,1.5,11.9,1.2,16.4,4,8.5,9.1
9,Unknown,Comeau,Fillet,Unknown,,7-14-2017 10:44,8,18.8,11.4,3.3,7.9,16.9,13.3,10,16.6,12.3
10,Unknown,Comeau,Fillet,Unknown,,7-14-2017 10:45,8,4.6,5.4,22.8,11.6,17.3,12.3,12.5,13.1,12.5
1,Lurcher,Leroy and Barry,Bait,,21-23,7-13-2017 7:28,8,9.6,3.7,6.1,10.3,14.4,2.1,8,6.5,7.6
2,Lurcher,Leroy and Barry,Bait,,21-23,7-13-2017 7:29,8,8.1,4.7,8.7,3.3,16.9,18.4,7.5,9.3,9.6
3,Lurcher,Leroy and Barry,Bait,,21-23,7-13-2017 7:30,8,3.9,11.6,3.8,3.8,4.5,1.7,6.4,5.3,5.1
4,Lurcher,Leroy and Barry,Bait,,21-23,7-13-2017 7:31,8,7.6,13.3,4.4,2.3,2.6,10,8.5,9.9,7.3
5,Lurcher,Leroy and Barry,Bait,,21-23,7-13-2017 7:32,8,6.9,2.5,20.3,2.1,9.4,2.8,1.9,3,6.1
6,Patch,Morning Star,Fillet,10:20,,7-13-2017 13:10,8,15.3,11.2,18.9,10.7,17.9,9.1,9.3,16.8,13.7
7,Patch,Morning Star,Fillet,10:20,,7-13-2017 13:11,8,16.5,12.3,12,14,12,12.3,17.1,11.8,13.5
8,Patch,Morning Star,Fillet,10:20,,7-13-2017 13:12,8,12.9,14.4,17.4,4.5,15.2,13.5,13.2,18.7,13.7
9,Patch,Morning Star,Fillet,10:20,,7-13-2017 13:13,8,18.7,11.6,5.9,8.9,9.8,16.4,12,19.7,12.9
10,Patch,Morning Star,Fillet,10:20,,7-13-2017 13:14,8,13.5,18.7,18.7,16.3,12.7,1.4,12.3,15.2,13.6
11,Patch,Morning Star,Bait,,21-23,7-13-2017 13:32,8,8.5,15.7,15.8,18,14.5,13.2,16.7,9.3,14
12,Patch,Morning Star,Bait,,21-23,7-13-2017 13:42,8,25.9,11.2,18.2,10.5,17.4,10.1,11.9,12.4,14.7
13,Patch,Morning Star,Bait,,21-23,7-13-2017 13:42,8,8.3,13.1,3.6,15.9,13.9,17.6,21.7,17.4,13.9
14,Patch,Morning Star,Bait,,21-23,7-13-2017 13:43,8,20.2,7.6,7.2,15.1,11.8,13,12.6,15.3,12.9
15,Patch,Morning Star,Bait,,21-23,7-13-2017 13:44,8,10.8,13.8,16.3,14.9,13.1,10.4,6.3,12.9,12.3
1,SW German Bank,Leroy and Barry,Fillet,10:22,,7-18-2017 11:14,8,10.7,4.4,16.4,13.9,4.9,13.6,5.1,12.3,10.2
2,SW German Bank,Leroy and Barry,Fillet,10:22,,7-18-2017 11:15,8,4.6,8.5,9.3,5.5,6.3,10,7.8,6.8,7.4
3,SW German Bank,Leroy and Barry,Fillet,10:22,,7-18-2017 11:16,8,8.4,11.3,8.4,2.1,7.5,5.3,5.7,11.8,7.6
4,SW German Bank,Leroy and Barry,Fillet,10:22,,7-18-2017 11:17,8,4.7,7.4,8.3,5.7,7.9,10,4.1,9.3,7.2
5,SW German Bank,Leroy and Barry,Fillet,10:22,,7-18-2017 11:18,8,10.6,8.9,12.5,2,3.9,3.3,4.2,8,6.7
6,SW German Bank,Leroy and Barry,Bait,,21-23,7-18-2017 14:46,8,7.2,8.2,4.2,5.3,3.4,4.8,7.9,9.6,6.3
7,SW German Bank,Leroy and Barry,Bait,,21-23,7-18-2017 14:47,8,4.8,7.1,7.5,6.7,5.1,4.4,3.6,8,5.9
8,SW German Bank,Leroy and Barry,Bait,,21-23,7-18-2017 14:48,8,9.3,2.3,12.4,4.3,4.5,8.6,6.1,5.1,6.6
9,SW German Bank,Leroy and Barry,Bait,,21-23,7-18-2017 14:48,8,10.6,5.3,8.1,10.6,1.1,1.2,2.6,3.2,5.3
10,SW German Bank,Leroy and Barry,Bait,,21-23,7-18-2017 14:49,8,5.3,4.3,5.3,11.4,2.1,1.8,7,11.4,6.1
1,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:00,8,15.3,14.4,7.3,6.4,9,4.6,9.4,10.6,9.6
2,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:01,8,8.1,11.5,3.7,9.8,6.6,6.8,12.4,8.9,8.5
3,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:03,8,14.1,9,16.1,12.5,9.4,4.6,5.4,6.6,9.7
4,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:04,8,3.7,10.4,2.1,7.5,12.1,2.9,9,2.4,6.3
5,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:06,8,6.4,3.6,9.8,6.9,16.1,4.1,3.5,8.1,7.3
6,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:04,8,11.6,14.7,11.2,12.5,17.7,9.5,12.7,9.4,12.4
7,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:05,8,10.8,14.1,10.6,1.3,10.4,2.2,10.7,13.2,9.2
8,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:05,8,6,14,12,13.8,9.2,12.7,13.4,14.1,11.9
9,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:06,8,8.1,11,10.3,11.8,14.4,10.8,12,14.7,11.6
10,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:07,8,11.1,15.6,4.7,3,11.4,9.3,2.5,12.1,8.7
11,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:51,8,13.2,16.7,15.2,7.1,13,13.1,12.5,7.6,12.3
12,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:52,8,14.3,14.3,9.5,14.4,17.5,9.2,12.3,10.4,12.7
13,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:53,8,16.4,13.4,12.6,14,16.3,11.7,5.2,10.8,12.6
14,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:54,8,9.7,16.7,15.2,15.6,13.9,13,9.6,11.8,13.2
15,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:55,8,17,10.4,12.8,13.9,14.1,15.2,13.4,11.3,13.5
1,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:01,8,16.8,14.7,15.8,18.9,10.8,20.4,21,5.3,15.5
2,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:02,8,4.6,13.8,21.2,12.9,6.5,5.2,9.8,18.4,11.6
3,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:04,8,6.5,17.8,14.8,22.7,14.6,5.6,6.8,14.4,12.9
4,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:05,8,2.1,13,4.4,10.8,6.1,1.9,8.6,6,6.6
5,SW German Bank,Leroy and Barry,Fillet,15:22,,7-19-2017 8:06,8,5.3,17.3,2.6,7,21.7,7.2,8.4,11.6,10.1
6,SW German Bank,Leroy and Barry,Bait,,21-23,7-19-2017 13:55,8,10.4,7.4,5.2,10.5,7.7,11.7,13,3.6,8.7
7,SW German Bank,Leroy and Barry,Bait,,21-23,7-19-2017 13:56,8,3.2,14.1,10.5,7,8.5,14.4,4.3,4.7,8.3
8,SW German Bank,Leroy and Barry,Bait,,21-23,7-19-2017 13:56,8,10,0.9,10.3,3.6,6.2,2.6,6.4,14.1,6.8
9,SW German Bank,Leroy and Barry,Bait,,21-23,7-19-2017 14:22,8,4.3,3.3,12.6,3,5,5.7,6.4,8.7,6.1
10,SW German Bank,Leroy and Barry,Bait,,21-23,7-19-2017 14:22,8,6.3,3.1,4.8,10.3,6.5,3.3,10.9,9.8,6.9
11,SW German Bank,Leroy and Barry,Fillet,8:12,,7-19-2017 14:24,8,16.3,16.8,12.1,14,19.9,17,15.2,8,14.9
12,SW German Bank,Leroy and Barry,Fillet,8:12,,7-19-2017 14:25,8,18.9,18.1,16.9,15.2,10.3,15.4,14.5,15.6,15.6
13,SW German Bank,Leroy and Barry,Fillet,8:12,,7-19-2017 14:26,8,17.1,17.6,16.8,18.6,17.7,16.8,12.2,14.7,16.4
14,SW German Bank,Leroy and Barry,Fillet,8:12,,7-19-2017 14:27,8,11.4,8.6,17.6,15.4,11.8,13.5,12.1,18,13.6
15,SW German Bank,Leroy and Barry,Fillet,8:12,,7-19-2017 14:28,8,13.9,12.8,16.8,10.8,20.7,17.2,7.7,14.6,14.3
16,Patch,Morning Star,Fillet,10:16,,7-19-2017 16:59,8,17.7,14.9,8.7,10.7,11.2,5.1,8.2,12.9,11.2
17,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:00,8,14,6.9,7.8,5.2,18.4,17.7,17,13.5,12.6
18,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:02,8,19.8,2.5,2.3,16.1,15.1,11.4,12.1,18.9,12.3
19,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:02,8,11,8.3,5.9,14.8,13.8,11.8,17.8,2.5,10.7
20,Patch,Morning Star,Fillet,10:16,,7-19-2017 17:03,8,17.4,10,17,15.8,3.6,7.3,17.2,1.4,11.2
21,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:46,8,13,18.7,18,16.3,14.1,12.9,18.5,14.8,15.8
22,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:47,8,10.7,14.2,13.7,19.2,19.2,14.4,11.2,15.7,14.8
23,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:48,8,18.5,15.1,15.4,14.1,13.1,11,16.8,17.4,15.2
24,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:49,8,9,13.3,11.7,6.3,17,13.3,17.6,14.1,12.8
25,Patch,Morning Star,Fillet,8:12,,7-19-2017 18:50,8,10,10.6,11.2,12.3,9.8,0,9.5,14.2,9.7
1,Patch,Tasha Marie,Fillet,10:16,,7-20-2017 14:56,8,12.9,11.4,12.8,10.9,9.9,5.7,12.3,9.1,10.6
2,Patch,Tasha Marie,Fillet,10:16,,7-20-2017 14:56,8,12.4,9.1,13.4,12.2,14,11.6,11.8,3.6,11
3,Patch,Tasha Marie,Fillet,10:16,,7-20-2017 14:57,8,11.5,12.2,8.9,10.6,14.4,12.1,13.9,9.7,11.7
4,Patch,Tasha Marie,Fillet,10:16,,7-20-2017 14:58,8,11.2,11.4,16,12.5,11.1,14.6,10.9,10.4,12.3
5,Patch,Tasha Marie,Fillet,10:16,,7-20-2017 14:58,8,9.7,6.7,6.5,9.2,9.8,10.4,12.9,12.2,9.7
6,Patch,Tasha Marie,Fillet,8:12,,7-20-2017 15:05,8,13.3,12.8,13.9,15.3,15.4,12.8,14.1,17,14.3
7,Patch,Tasha Marie,Fillet,8:12,,7-20-2017 15:05,8,13.1,12.1,13.2,21.9,10.4,15,17.9,13.4,14.6
8,Patch,Tasha Marie,Fillet,8:12,,7-20-2017 15:06,8,10.4,12.7,12.9,11.2,9.5,10.7,13.8,12.2,11.7
9,Patch,Tasha Marie,Fillet,8:12,,7-20-2017 15:07,8,15.2,19.8,13.8,12.7,15.4,13.2,11,13.4,14.3
10,Patch,Tasha Marie,Fillet,8:12,,7-20-2017 15:08,8,14.5,15.2,13.6,15.1,12.2,14.7,20.2,14.1,15
1,Patch,Tasha Marie,Fillet,10:16,,7-21-2017 15:37,8,15.6,11.4,12.7,9.4,12.8,10.8,7.2,17.2,12.1
2,Patch,Tasha Marie,Fillet,10:16,,7-21-2017 15:38,8,2.2,11.9,11.4,8.2,4.7,13,12.7,13.1,9.7
3,Patch,Tasha Marie,Fillet,10:16,,7-21-2017 15:39,8,14,12.6,12.8,11.3,15.4,13.7,12,13,13.1
4,Patch,Tasha Marie,Fillet,10:16,,7-21-2017 15:40,8,12.2,11.8,11.2,17,11.6,12.3,9.7,4.1,11.2
5,Patch,Tasha Marie,Fillet,10:16,,7-21-2017 15:40,8,12.5,11.2,13,6.9,10.9,10,5.7,12.6,10.4
6,Patch,Tasha Marie,Fillet,8:12,,7-21-2017 16:32,8,13.5,10.4,10.6,16.3,13.6,14,12,18,13.6
7,Patch,Tasha Marie,Fillet,8:12,,7-21-2017 16:32,8,13.1,18,8.1,5.1,11.1,16.1,8.9,14.1,11.8
8,Patch,Tasha Marie,Fillet,8:12,,7-21-2017 16:33,8,13.2,15.1,7.8,13.1,7.4,13.7,10.3,16.4,12.1
9,Patch,Tasha Marie,Fillet,8:12,,7-21-2017 16:34,8,14.3,13.5,13.5,17.1,9.8,10.7,17,12.4,13.5
10,Patch,Tasha Marie,Fillet,8:12,,7-21-2017 16:36,8,12.7,9.9,13.4,12.1,14.3,8.3,10.9,12.4,11.8
11,Patch,Morning Star,Fillet,10:16,,7-21-2017 16:47,8,6.6,12.1,14,5.1,12.2,9.3,6.8,10,9.5
12,Patch,Morning Star,Fillet,10:16,,7-21-2017 16:48,8,10.2,12.2,13.3,11.4,13,14.1,10.1,13.5,12.2
13,Patch,Morning Star,Fillet,10:16,,7-21-2017 16:48,8,10,8.3,2.1,11.1,11.6,12.7,9.7,10.9,9.6
14,Patch,Morning Star,Fillet,10:16,,7-21-2017 16:49,8,11.7,14.5,14.3,12.1,11.1,11.8,13.7,6.6,12
15,Patch,Morning Star,Fillet,10:16,,7-21-2017 16:50,8,10.9,11.6,10.1,9.5,10.9,8.9,9.9,8.7,10.1
6,Patch,Morning Star,Fillet,10:16,,7-24-2017 15:06,8,6.6,0.8,13.3,16.4,13,14.1,12,9.3,10.7
7,Patch,Morning Star,Fillet,10:16,,7-24-2017 15:07,8,12.4,13.5,10.1,16.9,13,10.8,10.9,15.9,12.9
8,Patch,Morning Star,Fillet,10:16,,7-24-2017 15:07,8,17.1,19.5,11,15.8,8.3,14.1,8.1,10.4,13
9,Patch,Morning Star,Fillet,10:16,,7-24-2017 15:08,8,7.7,12.5,10,12.5,10.7,13.5,8.4,7.5,10.4
