Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
6,,Morning Star,Fillet,8:12,,6-3-2017 14:02,8,12.1,17.4,11,4.1,10.1,12.3,18.3,12.7,12.3
7,,Morning Star,Fillet,8:12,,6-3-2017 14:04,8,12.4,14.9,16.4,13.6,11.1,9.8,9.2,12.7,12.5
8,,Morning Star,Fillet,8:12,,6-3-2017 14:04,8,9.5,13.3,19.5,16.8,12.9,11,13.1,11.6,13.5
9,,Morning Star,Fillet,8:12,,6-3-2017 14:05,8,8.1,8.1,5.3,8.9,9.1,10.8,13.3,15.3,9.9
10,,Morning Star,Fillet,8:12,,6-3-2017 14:05,8,26.5,11.8,11,5.5,16.5,11.6,17.6,11.8,14
1,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:42,8,2.1,11.6,3.4,20.7,15.1,3.9,17.4,11.9,10.8
2,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:54,8,3.1,5.2,8,2.9,5.3,10.8,7.9,7.6,6.4
3,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:55,8,14.6,14,13.5,5.8,5.1,3,16.6,19.9,11.6
4,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:56,8,16.6,18.1,16.7,11.6,21,8.1,12.9,15.3,15
5,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:56,8,22.1,8.3,4.4,16.5,10.3,12.5,11.6,7.9,11.7
6,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:57,8,6.8,3.3,4,5.5,18.2,6.8,18.4,12.4,9.4
7,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:58,8,11.8,19.6,17.2,2.2,3.5,9.3,24.4,6.8,11.9
8,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:59,8,10.4,8.1,18.2,9,14.9,2.4,13.3,19.9,12
9,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 6:59,8,16.5,16.1,17.4,2,8.8,1.9,9.3,1.6,9.2
10,NW Shoal,Leroy and Barry,Fillet,10:20,,6-8-2017 7:00,8,18.2,21.4,1.7,6.2,16.6,10.3,2.2,2.4,9.9
11,NW Shoal,Leroy and Barry,Fillet,8:12,,6-8-2017 11:19,8,19.1,8,7.2,24.2,15.1,9.6,12.3,16.4,14
12,NW Shoal,Leroy and Barry,Fillet,8:12,,6-8-2017 11:20,8,10.1,6.4,12.3,14.7,5.9,18.2,9.8,12.1,11.2
13,NW Shoal,Leroy and Barry,Fillet,8:12,,6-8-2017 11:22,8,15.2,21.5,13,8.2,5.1,12.9,14.7,14.1,13.1
14,NW Shoal,Leroy and Barry,Fillet,8:12,,6-8-2017 11:23,8,10.4,14.4,16.3,18.5,20.3,10.2,11.4,17.7,14.9
15,NW Shoal,Leroy and Barry,Fillet,8:12,,6-8-2017 11:24,8,11.2,6.9,5.7,10.4,4.2,5,11.2,8.8,7.9
16,NW Shoal,Leroy and Barry,Fillet,15:22,,6-8-2017 11:39,8,2.4,10,11.4,15.6,8.4,13.8,19.3,15.2,12
17,NW Shoal,Leroy and Barry,Fillet,15:22,,6-8-2017 11:40,8,4.5,3.5,12.6,16.2,5,2.4,2,8.9,6.9
18,NW Shoal,Leroy and Barry,Fillet,15:22,,6-8-2017 11:40,8,12.9,9,2.8,1.9,17.4,5.8,17.9,17.5,10.7
19,NW Shoal,Leroy and Barry,Fillet,15:22,,6-8-2017 11:41,8,9.7,8.7,3.7,2.6,2.4,11.4,14.8,14.7,8.5
20,NW Shoal,Leroy and Barry,Fillet,15:22,,6-8-2017 11:42,8,2.6,5.6,17.8,8,11.2,16.3,12.8,8.2,10.3
1,NW Shoal,Leroy and Barry,Fillet,10:20,,6-9-2017 7:43,8,11,10.4,10.8,7.6,7.9,10,19.2,8.9,10.7
2,NW Shoal,Leroy and Barry,Fillet,10:20,,6-9-2017 7:43,8,2.2,4.9,9.6,12.6,3.8,9.8,6.5,12.3,7.7
3,NW Shoal,Leroy and Barry,Fillet,10:20,,6-9-2017 7:44,8,1.9,6.7,5.4,2.1,8.8,5,11,9.9,6.4
4,NW Shoal,Leroy and Barry,Fillet,10:20,,6-9-2017 7:45,8,8.7,6,2.7,5.7,5,6,21.3,4.8,7.5
5,NW Shoal,Leroy and Barry,Fillet,10:20,,6-9-2017 7:46,8,4.3,12.5,13.7,6,7.3,6.7,10.1,10.5,8.9
6,NW Shoal,Leroy and Barry,Fillet,15:22,,6-9-2017 8:54,8,3.9,4,17.9,7.6,6.7,4.5,3.1,5.2,6.6
7,NW Shoal,Leroy and Barry,Fillet,15:22,,6-9-2017 8:55,8,5,5.7,10.2,8.4,8.7,5.4,6.1,3.9,6.7
8,NW Shoal,Leroy and Barry,Fillet,15:22,,6-9-2017 8:56,8,4.1,10.8,8.7,9,12.6,12.1,6.1,8.9,9
9,NW Shoal,Leroy and Barry,Fillet,15:22,,6-9-2017 8:56,8,8,10,11.4,9.8,2.7,2.3,3.1,3.6,6.4
10,NW Shoal,Leroy and Barry,Fillet,15:22,,6-9-2017 8:57,8,7.3,3.3,9.8,16.2,8.7,9,6.5,7.3,8.5
11,NW Shoal,Leroy and Barry,Fillet,8:12,,6-9-2017 9:01,8,19.2,16.5,13.9,12.2,4.3,9.4,11.3,22.1,13.6
12,NW Shoal,Leroy and Barry,Fillet,8:12,,6-9-2017 9:01,8,12.4,17.6,13.7,6.8,16.2,10.8,8.7,11.8,12.3
13,NW Shoal,Leroy and Barry,Fillet,8:12,,6-9-2017 9:02,8,12,12.6,7.3,11.9,11.2,8.4,9.3,14.1,10.9
14,NW Shoal,Leroy and Barry,Fillet,8:12,,6-9-2017 9:03,8,14.9,7.5,8.4,12.1,8.3,11.7,10.8,15.1,11.1
15,NW Shoal,Leroy and Barry,Fillet,8:12,,6-9-2017 9:04,8,10.6,15.7,10,8.1,12.7,16.3,12.3,6.8,11.6
1,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 6:19,8,12,2,4.7,17.8,1.8,4.4,12.8,17.4,9.1
2,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 6:20,8,1.8,9.7,2.3,12.4,18,7.8,20.4,4.4,9.6
3,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 6:21,8,13.3,15.8,2,3,6.3,18.9,18.8,13.5,11.5
4,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 6:21,8,13.9,4.1,8.2,2.5,16.3,3.6,2.9,1.1,6.6
5,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 6:22,8,0.9,0.9,3.1,17.7,18.7,4.8,5.4,11.1,7.8
6,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 8:10,8,10.8,15.2,12.8,5.2,16.3,7.3,15.2,10.7,11.7
7,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 8:11,8,8.3,9.3,10.8,16.9,10,13.5,10.8,8.6,11
8,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 8:12,8,13.8,5.1,7,17.5,15.8,14.5,12.9,15.6,12.8
9,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 8:13,8,13.5,14.2,13.8,9.7,9.5,3.8,14.6,11.8,11.4
10,Teardrop,Leroy and Barry,Fillet,10:20,,6-13-2017 8:13,8,16.3,7.9,4.1,11.8,12.3,15.8,12.5,2.4,10.4
11,Teardrop,Leroy and Barry,Fillet,8:12,,6-13-2017 8:17,8,9.7,6.5,9.9,2.5,1.7,6.4,2.1,1.7,5.1
12,Teardrop,Leroy and Barry,Fillet,8:12,,6-13-2017 8:18,8,5.6,7.8,10.3,4.8,5.8,3.4,2.9,10.3,6.4
13,Teardrop,Leroy and Barry,Fillet,8:12,,6-13-2017 8:19,8,2.1,9.6,0.9,2,11.2,14.4,2.3,2.4,5.6
14,Teardrop,Leroy and Barry,Fillet,8:12,,6-13-2017 8:20,8,1.9,4.5,5.9,12.1,1.1,1.8,3.3,8.2,4.9
15,Teardrop,Leroy and Barry,Fillet,8:12,,6-13-2017 8:21,8,3.1,17.8,4.9,2.6,8.9,6.6,2.2,3.6,6.2
1,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:53,8,7.4,16.5,10,13.1,19.7,9.1,17.7,12.7,13.3
2,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:54,8,20.4,17.9,21.1,20.7,18.7,11.5,17.7,8.2,17
3,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:55,8,17.4,9.7,20.2,17.7,17.4,16.7,13,10.3,15.3
4,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:56,8,21.5,10,13.3,4.3,11.4,18.4,22.3,17.9,14.9
5,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:56,8,18.8,20,16.6,2.4,18.4,17.6,21.1,4.6,14.9
6,The Patch,Tasha Marie,Fillet,10:16,,6-13-2017 15:57,8,19.3,3.5,14.6,20.1,17.2,12.4,15.9,14.1,14.6
1,NW Shoal,Leroy and Barry,Fillet,10:20,,6-14-2017 7:04,8,8,2.4,5.6,3,3.3,5.7,1.3,3.9,4.2
2,NW Shoal,Leroy and Barry,Fillet,10:20,,6-14-2017 7:05,8,5.5,6,7.1,5.9,14.1,9.4,15.9,3.5,8.4
3,NW Shoal,Leroy and Barry,Fillet,10:20,,6-14-2017 7:06,8,7.9,3.3,13.7,8.9,2.6,18.6,6.7,7,8.6
4,NW Shoal,Leroy and Barry,Fillet,10:20,,6-14-2017 7:07,8,9.7,6.1,12.1,9.7,5,14.7,13.6,2.2,9.1
5,NW Shoal,Leroy and Barry,Fillet,10:20,,6-14-2017 7:09,8,11.8,4.1,12.3,10.5,10.1,11.3,12.9,17,11.3
6,NW Shoal,Leroy and Barry,Fillet,8:12,,6-14-2017 9:29,8,7,10.5,7.2,7.8,12.3,14.1,6.5,11.5,9.6
7,NW Shoal,Leroy and Barry,Fillet,8:12,,6-14-2017 9:31,8,7.9,9.3,11.3,10.2,11.8,13.9,5.5,8.6,9.8
8,NW Shoal,Leroy and Barry,Fillet,8:12,,6-14-2017 9:32,8,13,3.6,9.8,7.9,10.3,12.4,9.9,10.2,9.6
9,NW Shoal,Leroy and Barry,Fillet,8:12,,6-14-2017 9:33,8,12.2,11.1,8.3,10.5,8.7,12,9.5,12.1,10.6
10,NW Shoal,Morning Star,Fillet,8:12,,6-14-2017 9:34,8,9.1,14.9,5.7,12.6,12.1,9.3,3.4,6.1,9.2
11,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 13:12,8,12.3,11.3,12.4,9.1,17.3,13,9.8,9.3,11.8
12,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 13:13,8,7.8,11.1,13.7,13,13.3,10.5,11.3,12.1,11.6
13,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 13:14,8,12.7,8.7,6.3,7.3,6.5,12.5,7.4,12.9,9.3
14,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 13:15,8,18.2,15.8,16.4,11.2,8.1,11.4,7.6,10.7,12.4
15,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 13:17,8,10.4,14.5,14.2,9.3,11.8,11.7,14.9,7,11.7
16,NW Shoal,Morning Star,Fillet,10:16,,6-14-2017 14:55,8,12.3,11.4,7.8,15.9,14.2,10.5,10.8,11.5,11.8
17,NW Shoal,Morning Star,Fillet,7:11,,6-14-2017 14:56,8,18.4,11.6,17.2,8.5,18.7,11,11.4,9.8,13.3
