Plant,Date,Method ,Harvest_Site,Boat,bait,small,med,large
Sea Life,2018-09-24,1,German Bank,Lady Melissa,6,,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,4,,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,5.4,,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,3.2,,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,6.2,,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,6,,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,4.8,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,3.2,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,3.2,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,3.4,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,6.2,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,7.2,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,10.8,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,7,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,4.6,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,6,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,2.4,,
Sea Life,2018-09-24,1,German Bank,Lady Melissa,,2.8,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,,5.4,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,,5,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,,6,,
Sea Life,2018-09-24,1,German Bank,Lady Janice,,4.2,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,10.4,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,7.2,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,6.2,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-09-25,1,German Bank,Sealife II,,9.6,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,7,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,9.2,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,7.2,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,7.4,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,6.2,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,4.8,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,4.8,,
Sea Life,2018-09-25,1,German Bank,Lady Janice,,7.2,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,6,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,5,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,4,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,5.6,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,3.8,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,5.2,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,5.4,,,
Sea Life,2018-09-26,1,Connor's Weir,Capelco,4.8,,,
Sea Life,2018-09-28,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-09-28,1,German Bank,Sealife II,,10.4,,
Sea Life,2018-09-28,1,German Bank,Sealife II,,2,,
Sea Life,2018-09-28,1,German Bank,Sealife II,,4.6,,
Sea Life,2018-09-28,1,German Bank,Lady Melissa,,14,,
Sea Life,2018-09-28,1,German Bank,Lady Melissa,,6.2,,
Sea Life,2018-09-28,1,German Bank,Lady Melissa,,4.6,,
Sea Life,2018-09-28,1,German Bank,Lady Melissa,,5,,
Sea Life,2018-09-28,1,German Bank,Lady Janice,,4,,
Sea Life,2018-09-28,1,German Bank,Lady Janice,,7,,
Sea Life,2018-09-28,1,German Bank,Lady Janice,,6.6,,
Sea Life,2018-09-28,1,German Bank,Lady Janice,,5.6,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,6,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,5.6,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,3.8,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,3.4,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,4,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,5.8,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,4.6,,,
Sea Life,2018-09-29,1,Connor's Weir,Micheal & Eileen,4,,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,7,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,8.8,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,5.8,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,7.6,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,7.8,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,6.8,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,12.8,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,7.2,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,7.2,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,8.6,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,6,,
Sea Life,2018-10-01,1,Seal Island ,Lady Janice,,8.8,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,8,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,9.6,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,8.8,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,5.4,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,6.2,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,10.6,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,6.4,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,7.4,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,8.8,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,4.2,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,8,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,7,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,6.4,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,8.6,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,12.4,,
Sea Life,2018-10-01,1,Seal Island ,Sealife II,,6,,
Sea Life,2018-10-01,1,Connor's Weir,Micheal & Eileen,8.8,,,
Sea Life,2018-10-01,1,Connor's Weir,Micheal & Eileen,10.2,,,
Sea Life,2018-10-01,1,Connor's Weir,Micheal & Eileen,8,,,
Sea Life,2018-10-01,1,Connor's Weir,Micheal & Eileen,10.8,,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,6.2,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,4.6,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,6.8,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,4,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,7.4,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,13,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,8.2,,
Sea Life,2018-10-02,1,German Bank,Sealife II,,8.6,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,4.2,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,6.8,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,4,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,10.6,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,7,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,5.2,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,6.6,,
Sea Life,2018-10-02,1,German Bank,Lady Janice,,7.6,,
Sea Life,2018-10-02,1,German Bank,Lady Melissa,,7,,
Sea Life,2018-10-02,1,German Bank,Lady Melissa,,3.8,,
Sea Life,2018-10-02,1,German Bank,Lady Melissa,,5.6,,
Sea Life,2018-10-02,1,German Bank,Lady Melissa,,4.8,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,4.8,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,3.6,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,6,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,4.8,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,3.2,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,2.6,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,7,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.6,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,3,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,6.6,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.2,,,
Sea Life,2018-10-03,1,Connor's Weir,Capelco,5.4,,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,9.8,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,5,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,7,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,7.2,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,10.2,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,5.4,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,6.8,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,7,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,10,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,4.6,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,6.6,,
Sea Life,2018-10-04,1,German Bank,Sealife II,,6.8,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,5,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,6.2,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,9.4,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,6.6,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,7.8,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,4.8,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,7.6,,
Sea Life,2018-10-04,1,German Bank,Lady Melissa,,3.8,,
Sea Life,2018-10-04,1,German Bank,Lady Janice,,4.8,,
Sea Life,2018-10-04,1,German Bank,Lady Janice,,7,,
Sea Life,2018-10-04,1,German Bank,Lady Janice,,8.4,,
Sea Life,2018-10-04,1,German Bank,Lady Janice,,6,,
Sea Life,2018-10-04,1,German Bank,Sealife II,4,,,
Sea Life,2018-10-04,1,German Bank,Sealife II,6.6,,,
Sea Life,2018-10-04,1,German Bank,Sealife II,4.6,,,
Sea Life,2018-10-04,1,German Bank,Sealife II,5,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,4,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.6,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,6.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,4.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,6,,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,4.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,4.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,8.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,,11.4,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,8,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,7,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,8,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,5.2,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,4.6,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,9,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,8.4,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,4.2,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,5.2,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,4.8,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,5.2,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,9,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,11,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,6.6,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,6.6,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,6.4,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-05,1,Seal Island ,Sealife II,,,4.6,
Sea Life,2018-10-05,1,Seal Island ,Lady Melissa,,4.4,,
Sea Life,2018-10-05,1,Seal Island ,Lady Melissa,,5.2,,
Sea Life,2018-10-05,1,Seal Island ,Lady Melissa,,9.2,,
Sea Life,2018-10-05,1,Seal Island ,Lady Melissa,,4.6,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,9,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,11.6,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,12.4,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,8.6,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,11,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,7.4,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,10,,,
Sea Life,2018-10-05,1,Connor's Weir,Silver King,8.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,4,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.6,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,6.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,4.2,,,
Sea Life,2018-10-08,1,Connor's Weir,Capelco,5.8,,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,4.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,6.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,4.8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,7.6,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,,11.4,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,8,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,8.4,,
Sea Life,2018-10-08,1,Seal Island ,Sealife II,,5.8,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,8,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,7,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,8,,
Sea Life,2018-10-08,1,Seal Island ,Lady Melissa,,5.2,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,3,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,7.2,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,3.4,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,5.6,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,4,,
Sea Life,2018-10-09,1,Seal Island ,Sealife II,,,4.4,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,7.8,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,6.6,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,8.4,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,10.6,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,7.6,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,6.4,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,6,,
Sea Life,2018-10-09,1,Seal Island ,Lady Janice,,10.6,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,7,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,6,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,5.4,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,8,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,6.6,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,5.4,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,4.6,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,8.2,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,7.4,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,5.4,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,3.4,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,4.8,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,7.6,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,6.2,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,4.2,,,
Sea Life,2018-10-15,1,Connor's Weir,Capelco,4.8,,,
