Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-61.00065405,0.00281795851312557,38.925781193
FM,T02,-35.5,-56.15635971,0.00859733855147906,37.73846842
LB,T01,-35.5,-60.17023437,0.00341174499408931,38.140954458
LB,T02,-35.5,-56.91484713,0.00721963575332194,37.97299891
LJ,T01,-35.5,-59.37577997,0.00409658530693521,37.190438204
LJ,T02,-35.5,-59.21079078,0.00425520925602025,36.8956271
LM,T01,-35.5,-54.28877753,0.0132166761027547,37.58642814
LM,T02,-35.5,-61.20724287,0.0026870497849415,37.68273316
MS,T01,-35.5,-55.46292851,0.0100857256177778,39.263321264
MS,T02,-35.5,-52.90089795,0.018193246550103,39.10061475
FM,T03,-35.5,-55.75575998,0.00942809613014032,29.1773296
FM,T04,-35.5,-62.55948625,0.00196811909519349,28.3859822
LB,T03,-35.5,-57.47245093,0.00634972485589816,29.1161649
LB,T04,-35.5,-63.95716653,0.00142653800707107,29.2189512
LJ,T03,-35.5,-60.68061928,0.00303345859887211,28.41825676
LJ,T04,-35.5,-68.41687511,0.000510872457103823,28.4332764
LM,T03,-35.5,-61.46496972,0.00253222929049839,28.68439716
LM,T04,-35.5,-64.1852751,0.00135354434888574,28.9850003
MS,T03,-35.5,-54.80255058,0.0117420774870403,29.6571417
MS,T04,-35.5,-59.93210698,0.00360403750694268,27.7047138
