Vessel,Y,X,Yend ,Xend
BP,45.0709381,-65.23333333,45.24768095,-64.7268
BP,45.23927778,-64.71327778,45.28527778,-64.55
BP,45.10284762,-65.23333333,45.26900952,-64.75953333
BP,45.26866667,-64.75716667,45.32833333,-64.55
C1,45.1507119,-65.23333333,45.30100238,-64.80863333
C1,45.25,-65.05,45.31666667,-64.83333333
C1,45.26305,-65.05,45.32445,-64.85
C1,45.27611667,-65.05,45.33221667,-64.86666667
C1,45.28916667,-65.05,45.34,-64.88333333
