Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2026-09-06 19:24:52,2026-09-06 21:55:05,-66.46609214,43.57800824,-66.4651609,43.23448977,38.273387771
BP,T02,2026-09-06 22:18:41,2026-09-07 00:46:27,-66.37154716,43.23324654,-66.37132551,43.56777194,37.30345908
BP,T03,2026-09-07 01:11:38,2026-09-07 03:34:53,-66.27572308,43.56521515,-66.27507291,43.23575304,36.69217302
FM,T01,2026-09-06 20:50:36,2026-09-06 23:18:36,-66.451595,43.56794667,-66.44896631,43.23391776,38.41850045
FM,T02,2026-09-06 23:42:35,2026-09-07 02:10:20,-66.3567024,43.23364135,-66.35727613,43.56610774,38.02387217
FM,T03,2026-09-07 02:35:17,2026-09-07 05:03:10,-66.26210637,43.56421665,-66.2621803,43.23677857,37.35294891
LB,T01,2026-09-06 19:25:20,2026-09-06 21:48:37,-66.48025644,43.56596567,-66.47953952,43.23399775,37.975024334
LB,T02,2026-09-06 22:15:45,2026-09-07 00:57:53,-66.38432333,43.23306833,-66.3840639,43.56711444,38.34480051
LB,T03,2026-09-07 01:24:18,2026-09-07 03:44:46,-66.28825978,43.56383114,-66.28837551,43.23335193,37.64683394
LJ,T01,2026-09-06 20:07:30,2026-09-06 22:31:22,-66.41138372,43.56687136,-66.41151217,43.23482694,37.015808225
LJ,T02,2026-09-06 22:55:53,2026-09-07 01:23:32,-66.31711537,43.23331686,-66.31459396,43.56179982,36.572523
LJ,T03,2026-09-07 01:54:47,2026-09-07 03:47:11,-66.22187006,43.50050679,-66.22009959,43.24774486,28.13468364
LM,T01,2026-09-06 19:50:52,2026-09-06 22:18:51,-66.43766333,43.57085,-66.43857563,43.2355813,38.07277956
LM,T02,2026-09-06 22:41:49,2026-09-07 01:07:19,-66.34393781,43.23251875,-66.34295333,43.56694337,37.81308937
LM,T03,2026-09-07 01:30:23,2026-09-07 03:55:45,-66.247705,43.56720165,-66.24948765,43.23338247,37.6649123
MS,T01,2026-09-06 21:04:13,2026-09-06 23:21:05,-66.49094187,43.56106152,-66.49219641,43.23422523,39.285992968
MS,T02,2026-09-06 23:46:16,2026-09-07 02:16:08,-66.39876408,43.23648735,-66.397715,43.56526365,38.68488611
MS,T03,2026-09-07 02:41:02,2026-09-07 04:52:54,-66.3033103,43.56252637,-66.30239993,43.24643127,36.50922195
TM,T01,2026-09-06 19:45:55,2026-09-06 22:13:13,-66.425595,43.56741833,-66.42319023,43.23232356,37.432160434
TM,T02,2026-09-06 22:38:44,2026-09-07 01:18:56,-66.33074614,43.23143582,-66.32955826,43.56650538,37.31474791
TM,T03,2026-09-07 01:44:26,2026-09-07 04:05:41,-66.23663119,43.56607246,-66.23648296,43.23580491,36.75748147
BP,T04,2026-09-07 04:05:13,2026-09-07 05:32:46,-66.17957194,43.2500511,-66.1822052,43.50000246,27.8080858
FM,T04,2026-09-07 05:32:41,2026-09-07 06:59:34,-66.17109865,43.24948775,-66.16980167,43.45972307,24.0046404
LB,T04,2026-09-07 04:19:30,2026-09-07 06:04:03,-66.19387908,43.24701259,-66.1937935,43.50496366,29.2838975
LJ,T04,2026-09-07 04:17:15,2026-09-07 06:07:26,-66.12545104,43.24765222,-66.1250554,43.50236189,28.3347114
LM,T04,2026-09-07 04:26:02,2026-09-07 06:17:29,-66.15504871,43.24746225,-66.15165857,43.50043647,28.6553499
MS,T04,2026-09-07 05:26:09,2026-09-07 07:03:24,-66.2064745,43.24900745,-66.20850063,43.50299125,29.1644651
TM,T04,2026-09-07 04:39:32,2026-09-07 06:11:56,-66.14435785,43.24998689,-66.14050778,43.50340061,28.2920507
