Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-50.63678236,0.0306423284927476,38.273387771
BP,T02,-35.5,-49.01315651,0.0445332457196776,37.30345908
BP,T03,-35.5,-58.10015508,0.00549521250933388,36.69217302
FM,T01,-35.5,-47.96292542,0.0567162434475986,38.41850045
FM,T02,-35.5,-49.14812539,0.0431705380043832,38.02387217
FM,T03,-35.5,-55.85086621,0.00922387436581701,37.35294891
LB,T01,-35.5,-52.19419193,0.021408232219752,37.975024334
LB,T02,-35.5,-44.44586103,0.127471735008511,38.34480051
LB,T03,-35.5,-52.22767279,0.0212438252847169,37.64683394
LJ,T01,-35.5,-49.82708245,0.0369225557573425,37.015808225
LJ,T02,-35.5,-51.22240943,0.026776823565482,36.572523
LJ,T03,-35.5,-57.83233682,0.00584475509210674,28.13468364
LM,T01,-35.5,-43.23686789,0.168388803485883,38.07277956
LM,T02,-35.5,-50.96852004,0.0283888628050828,37.81308937
LM,T03,-35.5,-56.96702092,0.00713342185486922,37.6649123
MS,T01,-35.5,-46.20334142,0.0850483432632709,39.285992968
MS,T02,-35.5,-48.67258964,0.0481660504252437,38.68488611
MS,T03,-35.5,-51.14499819,0.0272583887497044,36.50922195
TM,T01,-35.5,-53.68721361,0.0151802400412069,37.432160434
TM,T02,-35.5,-50.35767143,0.0326762986721069,37.31474791
TM,T03,-35.5,-57.41168314,0.00643919661380239,36.75748147
BP,T04,-35.5,-52.02990575,0.0222335814114496,27.8080858
FM,T04,-35.5,-47.45842367,0.0637026696324288,24.0046404
LB,T04,-35.5,-51.65923326,0.024214565132967,29.2838975
LJ,T04,-35.5,-51.32054038,0.0261785725558431,28.3347114
LM,T04,-35.5,-49.35458487,0.0411662695112693,28.6553499
MS,T04,-35.5,-52.53992954,0.0197700171475628,29.1644651
TM,T04,-35.5,-9999,0,28.2920507
