ground,JD_bin,DFO,HSC,usable_for_inference
German Bank,EarlySummer,10,3,FALSE
German Bank,Fall,59,15,TRUE
German Bank,LateSummer,68,28,TRUE
Scots Bay,EarlySummer,20,25,TRUE
Scots Bay,Fall,18,4,FALSE
Scots Bay,LateSummer,85,26,TRUE
