ground,Source,JD_bin,years
German Bank,DFO,EarlySummer,1979
German Bank,DFO,Fall,1977, 1985, 1988, 1989, 1990, 1993
German Bank,DFO,LateSummer,1977, 1978, 1979, 1980
German Bank,HSC,EarlySummer,2023, 2024, 2025
German Bank,HSC,Fall,2018, 2019, 2020, 2021, 2022, 2023, 2024
German Bank,HSC,LateSummer,2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
Scots Bay,DFO,EarlySummer,1979
Scots Bay,DFO,Fall,1977
Scots Bay,DFO,LateSummer,1977, 1978, 1979, 1980
Scots Bay,HSC,EarlySummer,2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
Scots Bay,HSC,Fall,2022, 2023, 2024
Scots Bay,HSC,LateSummer,2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
