Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2023-13,1,1,66 21.41,43 34.28,66 21.73,43 34.31,18:32,18:42,against,1.3,271,Tracey,NW,5,0.5,11,645903,666985,5,4,10J101609_20231024_220912,43.57,-66.3616
GB2023-14,1,2,66 21.75,43 34.19,66 22.09,43 34.33,18:50,19:00,against,1.1,300,Tracey,NW,5,0.5,11,666985,680588,5,4,10J101609_20231024_220912,43.57,-66.3616
