Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-52.98246419,0.017854742,44.25678685
C1,T02,-35.5,-60.8210736,0.002936924,38.981704
FM,T01,-35.5,-55.24314146,0.010609279,45.64322757
FM,T02,-35.5,-56.08315706,0.008743479,40.34666019
LB,T01,-35.5,-57.24237767,0.00669518,45.38789441
LB,T02,-35.5,-58.81728778,0.004658769,38.68925748
LJ,T01,-35.5,-59.05175792,0.004413917,46.69013096
LJ,T02,-35.5,-59.01600951,0.0044504,39.79578834
LM,T01,-35.5,-54.45983284,0.01270623,43.28808073
LM,T02,-35.5,-60.6305531,0.003068631,37.09926565
MS,T01,-35.5,-58.98047281,0.004486965,43.62933417
MS,T02,-35.5,-57.09937389,0.006919307,42.28982093
SL,T01,-35.5,-59.90451308,0.003627009,43.7263297
SL,T02,-35.5,-60.32592894,0.0032916,37.63909619
