Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2023-13,1,1,65 14.94,45 03.78,65 13.53,45 04.35,18:56,19:06,with,6.8,60,Tracey,N,5,0,19,829707,885393,9,8,10K100766_20230827_223456,45.0538,-65.2167
SB2023-14,1,2,65 12.53,45 03.78,65 13.63,45 03.56,19:18,19:28,against,5.3,246,Tracey,N,5,0,19,885393,965658,9,8,10K100766_20230827_223456,45.0538,-65.2167
