Tag_Num,Date,Julian,Ground,Lat,Lon,returnedDate,returnedJulian,returnedArea,returnedLat,returnedLon,Catch.t,daysAtLarge,dataorigin,Comments
577577,2023-09-04,247,German Bank,43.25055556,-66.38055556,2023-09-06,249,German Bank,43.5,-66.167,148,2,NA,NA
577602,2023-09-04,247,German Bank,43.25055556,-66.38055556,2023-09-07,250,German Bank,43.5,-66.167,94,3,NA,NA
577608,2023-09-04,247,German Bank,43.25055556,-66.38055556,2023-09-19,262,German Bank,43.5,-66.167,108,15,NA,NA
577724,2023-09-04,247,German Bank,43.25055556,-66.38055556,2023-09-06,249,German Bank,43.5,-66.167,102,2,NA,NA
577754,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577763,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577764,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,11,6,NA,NA
577765,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,165,6,NA,NA
577774,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-07,250,Scots Bay,45.5,-66,29,1,NA,NA
577781,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2024-09-26,270,Scots Bay,45.13333333,-65.11666667,70,386,NA,NA
577797,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2024-08-29,242,Scots Bay,45.5,-66,NA,358,NA,NA
577836,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-11,254,Scots Bay,45.5,-66,NA,5,NA,NA
577842,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-07,250,Scots Bay,45.5,-66,147,1,NA,NA
577847,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577853,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577857,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,11,6,NA,NA
577889,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,165,6,NA,NA
577896,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,165,6,NA,NA
577931,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577933,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,11,6,NA,NA
577934,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-12,255,Scots Bay,45.5,-66,94,6,NA,NA
577946,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2023-09-15,258,German Bank,43.25,-66.36666667,108,9,NA,NA
578202,2023-09-14,257,German Bank,43.3075,-66.4,2023-09-19,262,German Bank,43.5,-66.167,108,5,NA,NA
578413,2023-09-14,257,German Bank,43.3075,-66.4,2023-09-18,261,German Bank,43.5,-66.167,121,4,NA,NA
578578,2023-09-04,247,German Bank,43.25305556,-66.36638889,2023-09-25,268,Seal Island,43.29333333,-66.14666667,118,21,NA,NA
578599,2023-09-04,247,German Bank,43.25305556,-66.36638889,2023-09-07,250,German Bank,43.5,-66.167,110,3,NA,NA
578643,2023-09-04,247,German Bank,43.25305556,-66.36638889,2023-09-06,249,German Bank,43.5,-66.167,102,2,NA,NA
578658,2023-09-04,247,German Bank,43.25305556,-66.36638889,2023-09-06,249,German Bank,43.5,-66.167,102,2,NA,NA
578804,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,165,5,NA,NA
578805,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
578820,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,42,5,NA,NA
578830,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,42,5,NA,NA
578846,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
578866,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-11,254,Scots Bay,45.11666667,-65.03333333,152,4,NA,NA
578869,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,11,5,NA,NA
578873,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2024-08-30,243,Scots Bay,45.5,-66,NA,358,NA,NA
578875,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
578951,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
