Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,564895,Comeau,,468133,
,564904,Comeau,,468134,
,564941,Comeau,,591296,
,564943,Comeau,,591297,
,564951,Comeau,,591298,
,564967,Comeau,,591299,
,564978,Comeau,,591300,
,564979,Comeau,,591301,
,564980,Comeau,,591302,
,569033,Comeau,,591303,
,569034,Comeau,,591304,
,569050,Comeau,,591305,
,569054,Comeau,,591306,
,569151,Comeau,,591307,
,572406,Comeau,,591308,
,572412,Comeau,,591309,
,572419,Comeau,,591310,
,572438,Comeau,,591311,
,572460,Comeau,,591312,
,577051,Comeau,,591313,
,577064,Comeau,,591314,
,577204,Comeau,,591315,
,577295,Comeau,,591316,
,567373,Comeau,,591317,
,567462,Comeau,,591318,
,567466,Comeau,,591319,
,567515,Comeau,,591320,
,567641,Comeau,,591321,
,567648,Comeau,,591322,
,577351,Comeau,,591323,
,577577,Comeau,,591324,
,56741,Comeau,,591325,56741?
,564345,Comeau,,591326,
,564445,Comeau,,591327,
,567112,Comeau,,591328,
,567213,Comeau,,591329,
,567268,Comeau,,591330,
,569057,Comeau,,591331,
,569499,Comeau,,591332,
,577842,Comeau,,591333,
,564787,Comeau,,591334,
,567435,Comeau,,591335,
,567650,Comeau,,591336,
,577420,Comeau,,591337,
,577602,Comeau,,591338,
,564652,Comeau,,591339,
,577774,Comeau,,591340,
,471559,Comeau,,591341,
,530065,Comeau,,591342,
,530103,Comeau,,591343,
,578820,Comeau,,591344,
,578830,Comeau,,591345,
,475910,Comeau,,591346,
,530064,Comeau,,591347,
,530332,Comeau,,591348,
,569661,Comeau,,591349,
,569808,Comeau,,591350,
,569817,Comeau,,591351,
,569831,Comeau,,591352,
,530023,Comeau,,591353,
,528778,Comeau,,591354,
,532366,Comeau,,591355,
,574037,Comeau,,591356,
,574087,Comeau,,591357,
,567461,Comeau,,591358,
,574074,Comeau,,591359,
,477062,Comeau,,591360,
,528281,Comeau,,591361,
,530634,Comeau,,591362,
,573913,Comeau,,591363,
,574420,Comeau,,591364,
,477238,Comeau,,591365,
,530338,Comeau,,591366,
,567759,Comeau,,591367,
,567848,Comeau,,591368,
,529022,Comeau,,591369,
,529626,Comeau,,591370,
,575759,Comeau,,591371,
,500425,Connors,,591372,
,500273,Connors,,591373,
,502508,Connors,,591374,
,498070,Connors,,591375,
,502790,Connors,,591376,
,498205,Connors,,591377,
,522897,Connors,,591378,
,491599,Connors,,591379,
,500319,Connors,,591380,
,522283,Connors,,591381,
