"Tag_Num","Date","Julian","Ground","Lat","Lon","returnedDate","returnedJulian","returnedArea","returnedLat","returnedLon","Catch.t","daysAtLarge","dataorigin","Comments","ReleaseNAFO","ReturnNAFO"
460132,"2019-07-23",204,"Lurcher",43.91701667,-66.5047,"2019-10-01",274,"German Bank",NA,NA,NA,70,"complete.returns","","4Xq","4Xq"
467016,"2022-08-29",241,"German Bank",43.28333333,-66.37416667,"2022-09-02",245,"German Bank",NA,NA,107,4,"complete.returns","","4Xq","4Xq"
467021,"2022-08-29",241,"German Bank",43.28333333,-66.37416667,"2022-09-02",245,"German Bank",NA,NA,107,4,"complete.returns","","4Xq","4Xq"
467273,"2022-08-30",242,"German Bank",43.28433333,-66.3675,"2022-09-01",244,"German Bank",NA,NA,78,2,"complete.returns","","4Xq","4Xq"
467344,"2022-08-30",242,"German Bank",43.28433333,-66.3675,"2022-09-01",244,"German Bank",NA,NA,78,2,"complete.returns","","4Xq","4Xq"
467356,"2022-08-30",242,"German Bank",43.28433333,-66.3675,"2022-09-02",245,"German Bank",NA,NA,107,3,"complete.returns","","4Xq","4Xq"
467423,"2022-08-30",242,"German Bank",43.28433333,-66.3675,"2022-09-01",244,"German Bank",NA,NA,78,2,"complete.returns","","4Xq","4Xq"
467545,"2022-08-31",243,"German Bank",43.277,-66.3662,"2022-09-02",245,"German Bank",NA,NA,107,2,"complete.returns","","4Xq","4Xq"
467673,"2022-08-31",243,"German Bank",43.30738333,-66.3797,"2022-09-02",245,"German Bank",NA,NA,107,2,"complete.returns","","4Xq","4Xq"
475464,"2022-08-31",243,"German Bank",43.27755,-66.38485,"2022-09-02",245,"German Bank",NA,NA,107,2,"complete.returns","","4Xq","4Xq"
481072,"2020-09-14",258,"German Bank",43.45883333,-66.3398,"2021-09-09",252,"German Bank",NA,NA,104,360,"complete.returns","German Bank (Area 7)","4Xq","4Xq"
481556,"2020-09-14",258,"German Bank",43.25595,-66.3474,"2020-09-16",260,"German Bank",NA,NA,60,2,"complete.returns","","4Xq","4Xq"
481753,"2020-09-24",268,"German Bank",43.31285,-66.2112,"2021-10-26",299,"German Bank",NA,NA,71,397,"complete.returns","German Bank (Area 7)","4Xq","4Xq"
481979,"2020-09-28",272,"German Bank",43.28278,-66.4392,"2021-10-05",278,"German Bank",NA,NA,139,372,"complete.returns","German Bank (Area 7)","4Xq","4Xq"
491360,"2022-09-12",255,"SW Grounds",43.0025,-66.00383333,"2022-09-14",257,"German Bank",NA,NA,115,2,"complete.returns","","4Xp","4Xq"
491420,"2022-09-12",255,"SW Grounds",43.0025,-66.00383333,"2022-09-14",257,"German Bank",NA,NA,115,2,"complete.returns","","4Xp","4Xq"
493022,"2021-10-20",293,"German Bank",43.319583,-66.387583,"2021-10-22",295,"German Bank",NA,NA,74,2,"complete.returns","German Bank (Area 7)","4Xq","4Xq"
493151,"2021-10-21",294,"German Bank",43.261467,-66.373683,"2021-10-26",299,"German Bank",NA,NA,71,5,"complete.returns","German Bank (Area 7)","4Xq","4Xq"
498282,"2022-08-16",228,"German Bank",43.29838333,-66.42238333,"2022-08-26",238,"German Bank",NA,NA,69,10,"complete.returns","","4Xq","4Xq"
498300,"2022-08-16",228,"German Bank",43.29838333,-66.42238333,"2022-08-26",238,"German Bank",NA,NA,89,10,"complete.returns","","4Xq","4Xq"
498371,"2022-08-16",228,"German Bank",43.34535,-66.44735,"2022-08-26",238,"German Bank",NA,NA,89,10,"complete.returns","","4Xq","4Xq"
498624,"2022-08-16",228,"German Bank",43.34535,-66.44735,"2022-09-01",244,"German Bank",NA,NA,78,16,"complete.returns","","4Xq","4Xq"
