Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments,RemovalReason,returnedJulian,Date,Lon,Lat,Ground,Julian,daysAtLarge,BOAT,returnedDate_parsed,
530309,Scots Bay,NA,NA,2023-09-11,NA,Purse Seine,Connors,165,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-09-11 Fundy Monarch,NA,Days at large <= 0 ( 0 ),254,2023-09-11,-65.045,45.13083333,Scots Bay,254,0,Fundy Monarch,NA,
569804,Scots Bay,NA,NA,2023-09-11,NA,Purse Seine,Connors,165,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-09-11 Fundy Monarch,NA,Days at large <= 0 ( -1 ),254,2023-09-12,-66.34027778,44.29472222,Long Island,255,-1,Fundy Monarch,NA,
564641,Scots Bay,NA,NA,2023-08-29,NA,Purse Seine,Connors,102,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-08-29 Canada 100,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,Canada 100,NA,
569220,Scots Bay,NA,NA,2023-08-29,NA,Purse Seine,Connors,102,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-08-29 Canada 100,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.92277778,45.18972222,Scots Bay,241,0,Canada 100,NA,
532075,Scots Bay,NA,NA,2023-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-08-30 Canada 100,NA,Days at large <= 0 ( -5 ),242,2023-09-04,-66.35,43.25,German Bank,247,-5,Canada 100,NA,
569218,Scots Bay,NA,NA,2023-08-29,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-08-29 Canada 100,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.92277778,45.18972222,Scots Bay,241,0,Canada 100,NA,
528707,Scots Bay,NA,NA,2023-08-29,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-08-29 Canada 100,NA,Days at large <= 0 ( -13 ),241,2023-09-11,-65.03972222,45.14333333,Scots Bay,254,-13,Canada 100,NA,
205442,Seal Island,NA,NA,2019-10-14,NA,Purse Seine,Scotia Gardens,NA,complete.returns,rawReturn.csv,2019-10-14 Leroy & Barry II,"id formula is as follows TEXT(DATE cell, ""yyyy-mm-dd"")& "" "" &BOAT cell",Days at large <= 0 ( 0 ),287,2019-10-14,-66.1228,43.28651667,German Bank,287,0,Leroy & Barry II,NA,
42553,Seal Island,NA,NA,2019-10-14,NA,Purse Seine,Scotia Gardens,NA,complete.returns,rawReturn.csv,2019-10-14 Morning Star,NA,Days at large <= 0 ( 0 ),287,2019-10-14,-66.1393,43.30968333,German Bank,287,0,Morning Star,NA,
42648,Seal Island,NA,NA,2019-10-14,NA,Purse Seine,Scotia Gardens,NA,complete.returns,rawReturn.csv,2019-10-14 Leroy & Barry II,NA,Days at large <= 0 ( 0 ),287,2019-10-14,-66.1393,43.30968333,German Bank,287,0,Leroy & Barry II,NA,
42737,Seal Island,NA,NA,2019-10-14,NA,Purse Seine,Scotia Gardens,NA,complete.returns,rawReturn.csv,2019-10-14 Leroy & Barry II,NA,Days at large <= 0 ( 0 ),287,2019-10-14,-66.1393,43.30968333,German Bank,287,0,Leroy & Barry II,NA,
42749,Seal Island,NA,NA,2019-10-14,NA,Purse Seine,Scotia Gardens,NA,complete.returns,rawReturn.csv,2019-10-14 Leroy & Barry II,NA,Days at large <= 0 ( 0 ),287,2019-10-14,-66.1393,43.30968333,German Bank,287,0,Leroy & Barry II,NA,
567923,Seal Island,NA,NA,2023-09-05,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-09-05 Unspecified Connors Boat,NA,Days at large <= 0 ( -5 ),248,2023-09-10,-65.0175,45.13833333,Scots Bay,253,-5,Unspecified Connors Boat,NA,
572411,UNKNOWN,NA,NA,2023-06-01,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-06-01 UNKNOWN,NA,Days at large <= 0 ( -87 ),152,2023-08-27,-65.06972222,45.13527778,Scots Bay,239,-87,UNKNOWN,NA,
603928,UNKNOWN,NA,NA,2022-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-30 UNKNOWN,NA,Days at large <= 0 ( -14 ),242,2022-09-13,-66.4312,43.29043333,German Bank,256,-14,UNKNOWN,NA,
563703,UNKNOWN,NA,NA,2022-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-30 UNKNOWN,NA,Days at large <= 0 ( -349 ),242,2023-08-14,-66.35805556,44.34916667,Long Island,226,-349,UNKNOWN,NA,
564573,UNKNOWN,NA,NA,2022-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-30 UNKNOWN,NA,Days at large <= 0 ( -364 ),242,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,-364,UNKNOWN,NA,
564038,UNKNOWN,NA,NA,2022-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-30 UNKNOWN,NA,Days at large <= 0 ( -363 ),242,2023-08-28,-65.05194444,45.14111111,Scots Bay,240,-363,UNKNOWN,NA,
564593,UNKNOWN,NA,NA,2022-08-30,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-30 UNKNOWN,NA,Days at large <= 0 ( -364 ),242,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,-364,UNKNOWN,NA,
603692,UNKNOWN,NA,NA,2022-08-31,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2022-08-31 UNKNOWN,NA,Days at large <= 0 ( -13 ),243,2022-09-13,-66.39785,43.25433333,German Bank,256,-13,UNKNOWN,NA,
557301,White Head,NA,NA,2023-07-05,NA,Purse Seine/Frozen,Connors,48,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,NA,Days at large <= 0 ( 0 ),186,2023-07-05,-66.58416667,44.59305556,Grand Manan,186,0,Brunswick Provider,NA,
523994,White Head,NA,NA,2023-07-05,NA,Purse Seine/Frozen,Connors,48,complete.returns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,NA,Days at large <= 0 ( 0 ),186,2023-07-05,-66.5922222,43.6216667,Gannet Dry Ledge,186,0,Brunswick Provider,NA,
554419,Wolves,NA,NA,2020-10-13,NA,Purse Seine,Connors,60,complete.returns,ConnorsReturns2020.csv,2020-10-13 Canada 100,NA,Days at large <= 0 ( 0 ),287,2020-10-13,-66.7138,44.98,NB Coastal,287,0,Canada 100,NA,
NA,German Bank,NA,NA,2023-09-06,NA,Purse Seine,Comeau,148,complete.returns,Comeau Tag Retrievals 2023.xlsx,2023-09-06 LADY MELISSA,NA,Missing complete Tag Number,NA,NA,NA,NA,NA,NA,NA,LADY MELISSA,NA,
491315,NA,NA,NA,2022-09-14,NA,Purse Seine,Scotia Garden,NA,complete.returns,ScotiaGardenReturns2022.csv,2022-09-14 Brunswick Provider,NA,Missing return area and latitude/longitude,NA,NA,NA,NA,NA,NA,NA,Brunswick Provider,NA,
491430,NA,NA,NA,2022-09-14,NA,Purse Seine,Scotia Garden,NA,complete.returns,ScotiaGardenReturns2022.csv,2022-09-14 Brunswick Provider,NA,Missing return area and latitude/longitude,NA,NA,NA,NA,NA,NA,NA,Brunswick Provider,NA,
583187,NA,NA,NA,2021-10-24,NA,Purse Seine,Connors,NA,complete.returns,ConnorsReturns2021.csv,2021-10-24 Brunswick Provider,NA,Missing return area and latitude/longitude,NA,NA,NA,NA,NA,NA,NA,Brunswick Provider,NA,
564161,Scots Bay,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
575814,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
569623,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
567881,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
563807,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
572457,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Unclear UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564590,UNKNOWN,NA,NA,NA,NA,Purse Seine/Frozen,Connors,NA,complete.returns,Connors Fish Tag Data 2024,Frozen UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564857,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
