Tag Number,Date caught,vessel/carrier,latitude,longitude,gear type,catch weight mt,weir number,grounds,notes
550159,20200811,Morning Star,4507,6500,purse seine,80,,Scots Bay,
42469,20191015,Leroy and Barry,4320,6612,purse seine,157,,German Bank,plant was not sure which of
42469,20191015,Morning Star,4320,6610,purse seine,146,,German Bank,these two vessels had the tag
