id,X,Y,group,type,date,daysAtLarge
120,-66.33333333,43.45,72,return,2016-08-18,7
121,-67.11666667,44.11666667,51,return,2016-08-11,16
122,-67.02933333,44.2555,50,return,2016-08-11,7
123,-67.11416667,44.265,57,return,2016-08-17,2
124,-67.0345,44.25566667,107,return,2016-09-10,25
125,-66.4,43.35,145,return,2016-08-10,3
126,-66.9,43.4,4,return,2016-07-07,2
127,-66.33333333,43.45,31,return,2016-08-25,71
128,-67,44.28333333,91,return,2016-09-01,51
129,-66.66666667,43.51666667,6,return,2016-07-05,1
130,-66.65933333,44.64866667,123,return,2016-10-31,85
131,-66.41666667,43.33333333,144,return,2016-08-11,8
132,-64.98333333,45.15,131,return,2016-08-01,34
133,-67.11416667,44.265,58,return,2016-08-17,2
134,-66.34666667,43.46166667,134,return,2016-09-07,36
135,-64.96666667,45.15,55,return,2016-08-16,5
136,-66.29533333,43.44133333,35,return,2016-09-13,33
137,-66.35,43.43333333,128,return,2016-11-08,88
138,-67.05,44.25,102,return,2016-09-07,58
139,-66.35,43.41666667,27,return,2016-08-23,12
140,-66.66666667,43.51666667,7,return,2016-07-05,1
141,-67.06666667,44.15,39,return,2016-07-14,2
142,-66.66666667,43.51666667,13,return,2016-07-05,1
143,-67.11666667,44.11666667,52,return,2016-08-11,16
144,-66.92283333,43.6,146,return,2016-06-28,12
145,-66.73333333,43.45,16,return,2016-07-06,1
146,-67.04283333,44.25066667,101,return,2016-09-07,44
147,-66.65,44.65,124,return,2016-11-01,91
148,-66.66666667,43.51666667,10,return,2016-07-05,1
149,-66.351,44.3505,149,return,2016-07-05,1
150,-64.87666667,45.25066667,150,return,2018-08-06,0
151,-64.93333333,45.175,151,return,2018-09-04,1
152,-64.93333333,45.175,152,return,2018-09-04,1
153,-66.33333333,43.46666667,153,return,2018-09-13,3
154,-66.3395,43.45216667,154,return,2018-10-04,11
155,-66.35,43.46666667,155,return,2018-09-25,43
156,-66.35333333,43.4745,156,return,2018-09-24,43
157,-66.35,43.45,157,return,2018-10-02,51
158,-66.8215,44.777,158,return,2018-08-08,37
159,-66.8215,44.777,159,return,2018-08-04,33
160,-66.8215,44.777,160,return,2018-07-29,27
161,-66.686,44.67266667,161,return,2018-08-18,53
162,-66.85783333,45.0395,162,return,2018-08-11,46
163,-66.686,44.67266667,163,return,2018-07-10,14
164,-66.85783333,45.0395,164,return,2018-08-14,48
165,-66.88983333,44.91616667,165,return,2018-08-22,56
166,-66.88983333,44.91616667,166,return,2018-08-22,56
167,-66.31283333,44.32866667,167,return,2018-06-01,309
168,-66.37916667,43.40416667,168,return,2018-07-17,357
