"","TAG_NUMBER","plantReturnPlace","ReturnDate","ReturnVessel","ReturnGearType","ReturnCompany","Catch.plant","dataorigin","WEIRNO","portCode","OfficialReturnPlace","ReturnNAFO","Vessel","X_return","Y_return","Catch.DFO","Wharf_Name","Actual.Date"
"13","449347","Mill Cove Back Bay",2018-08-13,"Andrew & Deane","ShutOff","Sealife",NA,"rawReturn.csv",NA,13611,"SAULNIERVILLE","4Xs","Andrew & Deane",44.93033,-66.9047,45,"Nova Scotia",NA
"14","449786","Money Cove Weir",2018-08-07,"Andrew & Deane","Weir","Sealife",NA,"rawReturn.csv",337,NA,"MONEY COVE","4Xs","Andrew & Deane",44.777,-66.82,41.06,NA,NA
"15","450446","Money Cove Weir",2018-07-29,"Andrew & Deane","Weir","CapeBreeze",NA,"rawReturn.csv",337,NA,"MONEY COVE","4Xs","Andrew & Deane",44.777,-66.82,15.19,NA,NA
"16","450689","Money Cove Weir",2018-08-06,"Michael Eileen","Weir","Sealife",NA,"rawReturn.csv",337,NA,"MONEY COVE","4Xs","Michael Eileen",44.777,-66.82,40.5,NA,NA
"17","452321","Chattis Point",2019-08-28,"Caroline B","Weir","Connors",NA,"rawReturn.csv",416,NA,"CHATTIES PT","4Xs","Caroline B",45.016,-66.9,12.37,NA,NA
"18","452653","Flagg Cove",2019-08-30,"Capelco","Weir","Connors",NA,"rawReturn.csv",339,NA,"WINNER","4Xs","Capelco",44.77433333,-66.76,15.309,NA,NA
"19","456629","Seelys Head",2019-09-05,"Senator Neil","Weir","Connors",NA,"rawReturn.csv",727,NA,"FLOWER POT","4Xs","Senator Neil",45.04533333,-66.78,14.152,NA,NA
"20","34171","Scots Bay",2019-08-05,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.1855,-64.97467,77.53848,NA,2019-08-05
"21","34340","Scots Bay",2019-07-08,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.14017,-64.92033,92.999965,NA,2019-07-08
"22","34429","Scots Bay",2019-07-21,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.1875,-65.01567,101.000016,NA,2019-07-21
"23","34493","McDormant Patch",2019-09-06,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,44.0885,-66.47533,24,NA,2019-09-05
"24","34586","Scots Bay",2019-08-19,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.21983,-64.94333,63.000015,NA,2019-08-19
"25","34613","Scots Bay",2019-07-22,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.179,-65.03717,71.00002,NA,2019-07-21
"26","40597","Scots Bay",2020-08-24,"Fundy Monarch","Purse Seine","Connors",223,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,45.2,-64.88333,222.99992,NA,2020-08-24
"27","40619","Moore's Ledge",2020-09-04,"Morning Star","Purse Seine","Cape Breeze",34,"CapeBreezeReturns2020.csv",NA,NA,NA,"4XR",NA,44.33333,-66.36667,34,NA,2020-09-03
"28","41089","Scots Bay",2020-08-24,"Morning Star","Purse Seine","Scotia Garden",126,"ScotiaGardenReturns2020.csv",NA,NA,NA,"4XR",NA,45.13333,-65,125.99998,NA,2020-08-24
"29","41118","NE Bank",2020-10-21,"Brunswick Provider","Purse Seine","Connors",29,"ConnorsReturns2020.csv",NA,NA,NA,"5YB",NA,44.26667,-67,99,NA,2020-10-20
"30","41265","Sandy Cove",2020-07-29,"Brunswick Provider","Purse Seine","Connors",92,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,91.99998,NA,2020-07-27
"31","42041","Seal Island",2019-10-15,"Lady Melissa","Purse Seine","Sealife",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.32133,-66.16183,176.99992,NA,2019-10-14
"32","42335","Seal Island",2019-10-15,"Lady Janice II","Purse Seine","Sealife",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.31667,-66.15667,117.99996,NA,2019-10-14
"33","42425","Seal Island",2019-10-15,"Lady Melissa","Purse Seine","CapeBreeze",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.32133,-66.16183,176.99992,NA,2019-10-14
"34","42544","German Bank",2021-10-26,"Brunswick Provider","Purse Seine","Connors",NA,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.21417,-66.3135,45.99999,NA,2021-10-25
"35","42553","Seal Island",2019-10-14,"Morning Star","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.28333,-66.28333,141.00002,NA,2019-10-13
"36","42648","Seal Island",2019-10-14,"Leroy & Barry II","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.35,-66.19167,123.99998,NA,2019-10-13
"37","42737","Seal Island",2019-10-14,"Leroy & Barry II","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.35,-66.19167,123.99998,NA,2019-10-13
"38","42739","Seal Island",2019-10-15,"Lady Janice II","Purse Seine","Comeau Sea Foods",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.31667,-66.15667,117.99996,NA,2019-10-14
"39","42749","Seal Island",2019-10-14,"Leroy & Barry II","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.35,-66.19167,123.99998,NA,2019-10-13
"40","42804","Seal Island",2019-10-15,"Morning Star","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.16667,146,NA,2019-10-14
"41","42937","Seal Island",2019-10-15,"Morning Star","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.16667,146,NA,2019-10-14
"42","44186","Prong",2019-06-17,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.40517,-66.76567,48,NA,2019-06-16
"43","44217","Prong",2019-06-20,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.41667,-66.71667,57.00002,NA,2019-06-19
"44","44882","Prong",2019-06-17,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.40517,-66.76567,48,NA,2019-06-16
"45","44979","Prong",2019-06-18,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.414,-66.70867,17,NA,2019-06-17
"46","111573","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"47","111602","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"48","111608","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"49","111612","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"50","111617","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"51","111660","Wolfs Bank",2019-10-14,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.87583,-66.7175,120.99996,NA,2019-10-13
"52","111829","Wolfs Bank",2019-10-15,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.875,-66.71883,9.999996,NA,2019-10-14
"53","204235","Northeast Bank",2019-06-18,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.4,-66.75,55.00002,NA,2019-06-17
"54","204236","Prong",2019-06-20,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XS",NA,44.41667,-66.71667,57.00002,NA,2019-06-19
"55","204869","Sandy Cove",2020-07-28,"Brunswick Provider","Purse Seine","Connors",88,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,88.00002,NA,2020-07-28
"56","204908","Lurcher",2020-07-17,"Fundy Monarch","Purse Seine","Connors",37,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.05,-66.45,36.99999,NA,2020-07-17
"57","204921","Scots Bay",2020-08-12,"Canada 100","Purse Seine","Connors",86,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,45.11667,-65.03333,43,NA,2020-08-12
"58","205155","German Bank",2021-09-08,"Leroy & Barry II","Purse Seine","Scotia Garden",101,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.30333,-66.4,100.999989,NA,2021-09-07
"59","205442","Seal Island",2019-10-14,"Leroy & Barry II","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.35,-66.19167,123.99998,NA,2019-10-13
"60","206160","Sandy Cove",2020-07-28,"Brunswick Provider","Purse Seine","Connors",88,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,88.00002,NA,2020-07-28
"61","206562","North West Ledge",2020-09-03,"Brunswick Provider","Purse Seine","Connors",114,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.33333,-66.36667,114.00004,NA,2020-09-02
"62","206566","Wolves",2020-10-13,"Canada 100","Purse Seine","Connors",60,"ConnorsReturns2020.csv",NA,NA,NA,"4XS",NA,44.98,-66.71383,48.461535,NA,2020-10-13
"63","206567","Long Island Shore",2020-08-17,"Brunswick Provider","Purse Seine","Connors",84,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.4,-66.3,84,NA,2020-08-16
"64","206575","Long Island Shore",2020-08-18,"Brunswick Provider","Purse Seine","Connors",84,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.4,-66.3,66.999975,NA,2020-08-17
"65","206632","Sandy Cove",2020-07-28,"Brunswick Provider","Purse Seine","Connors",88,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,88.00002,NA,2020-07-28
"66","207185","Wolves",2020-10-16,"Canada 100","Purse Seine","Connors",60,"ConnorsReturns2020.csv",NA,NA,NA,"4XS",NA,44.98,-66.69,44.00001,NA,2020-10-15
"67","207368","McDormand Patch",2020-07-22,"Canada 100","Purse Seine","Connors",71,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.357,-66.34,35.5,NA,2020-07-21
"68","207933","Sandy Cove",2020-07-28,"Brunswick Provider","Purse Seine","Connors",88,"ConnorsReturns2020.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,88.00002,NA,2020-07-28
"69","208065","German Bank",2019-09-27,"Morning Star","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.3,-66.35,123.99996,NA,2019-09-26
"70","208140","German Bank",2019-09-27,"Leroy & Barry II","Purse Seine","Scotia Gardens",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.38767,-66.38717,89,NA,2019-09-26
"71","408257","German Bank",2019-09-27,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XQ",NA,43.297,-66.36283,127,NA,2019-09-27
"72","414230","German Bank",2020-09-28,"Canada 100","Purse Seine","Connors",118,"ConnorsReturns2020.csv",NA,NA,NA,"4XQ",NA,43.27917,-66.43033,118.000005,NA,2020-09-28
"73","414521","McDormant Patch",2019-09-06,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,44.0885,-66.47533,24,NA,2019-09-05
"74","414703","Scots Bay",2019-09-04,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.106,-65.06133,80.66664,NA,2019-09-03
"75","414708","Scots Bay",2019-09-03,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.15,-64.91667,77,NA,2019-09-02
"76","414738","Scots Bay",2019-09-16,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.2,-64.86667,90,NA,2019-09-16
"77","414789","Scots Bay",2019-09-04,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.106,-65.06133,80.66664,NA,2019-09-03
"78","414867","Scots Bay",2019-09-04,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.106,-65.06133,80.66664,NA,2019-09-03
"79","415483","McDormant Patch",2019-07-29,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,44.122,-66.46817,25,NA,2019-07-29
"80","416008","Scots Bay",2019-08-06,"Sealife II","Purse Seine","Comeau Sea Foods",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.18,-65,97,NA,2019-08-05
"81","416345","Scots Bay",2019-08-06,"Fundy Monarch","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.18333,-64.86667,65.99999,NA,2019-08-06
"82","416352","Scots Bay",2019-08-06,"Lady Janice II","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.20033,-64.836,60.000003,NA,2019-08-05
"83","416418","Scots Bay",2020-08-25,"Leroy & Barry II","Purse Seine","Scotia Garden",72,"ScotiaGardenReturns2020.csv",NA,NA,NA,"4XR",NA,45.21167,-64.94333,71.99998,NA,2020-08-24
"84","416466","Sandy Cove NS",2019-09-17,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,44.5,-66.1,30.99999,NA,2019-09-17
"85","416516","Scots Bay",2019-08-05,"Canada 100","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.1855,-64.97467,77.53848,NA,2019-08-05
"86","416636","Sandy Cove NS",2019-09-06,"Brunswick Provider","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,44.5,-66.08333,82.00001,NA,2019-09-06
"87","416653","Scots Bay",2019-08-21,"Fundy Monarch","Purse Seine","Connors",NA,"rawReturn.csv",NA,NA,NA,"4XR",NA,45.16667,-64.88333,95.00001,NA,2019-08-18
