id,Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,ground,plankton_ID,Date,Lat,Lon,Year,Survey
10K100766_20170622_000532,4.95,4.93,8.051034956,32883.70033,49746.85419,31.39855138,1478.288883,1024.462411,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,5.25,5.23,8.048908996,32880.61692,49745.38936,31.39706061,1478.28386,1024.462922,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,5.55,5.52,8.04898408,32880.5714,49745.20748,31.39681087,1478.288751,1024.464092,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,5.85,5.82,8.049192908,32878.60755,49741.92205,31.39441147,1478.291493,1024.463557,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,6.15,6.12,8.054611918,32882.07737,49739.01592,31.39309077,1478.315404,1024.463126,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,6.45,6.42,8.060744028,32886.16337,49735.96986,31.39178293,1478.342042,1024.462602,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,6.75,6.72,8.068996493,32892.54795,49733.21152,31.39100614,1478.377403,1024.462193,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,7.05,7.02,8.063050783,32900.4878,49754.16215,31.4045986,1478.376501,1024.475078,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,7.35,7.32,8.058019028,32902.74313,49765.1464,31.41136194,1478.37063,1024.482477,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,7.65,7.62,8.049848868,32900.89172,49774.64776,31.41659687,1478.350919,1024.489124,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,7.95,7.91,8.037275097,32896.15504,49786.42297,31.42273129,1478.315548,1024.497104,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,8.25,8.21,8.031442748,32886.87763,49781.17045,31.41801004,1478.292409,1024.495609,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,8.55,8.51,8.031004477,32889.80324,49786.25954,31.42136616,1478.299807,1024.49968,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,8.85,8.81,8.024969137,32877.81925,49777.2142,31.4139602,1478.27257,1024.496107,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,9.15,9.11,8.017171245,32872.15511,49780.39286,31.41482601,1478.248848,1024.499273,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,9.45,9.41,8.014157781,32865.40115,49774.70783,31.41024341,1478.236609,1024.497484,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,9.75,9.71,8.032402023,32881.54183,49771.64816,31.41082908,1478.311751,1024.496724,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,10.05,10,8.036990479,32886.44554,49772.157,31.411769,1478.335304,1024.498184,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,10.35,10.3,8.033730521,32868.27618,49749.56758,31.39532719,1478.307462,1024.487129,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,10.65,10.6,8.026686354,32866.2011,49757.037,31.39931329,1478.290476,1024.492635,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,10.95,10.9,8.023479558,32865.17229,49760.31105,31.40096603,1478.285219,1024.495765,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,11.25,11.2,8.026648669,32868.0929,49759.95783,31.40108125,1478.302349,1024.496781,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,11.55,11.5,8.028237895,32869.5532,49759.7742,31.40106749,1478.3133,1024.497921,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,11.85,11.8,8.02802545,32867.79548,49757.43332,31.39926301,1478.315173,1024.497912,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,12.15,12.09,8.022414599,32862.31727,49757.59293,31.39836126,1478.297597,1024.499381,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,12.45,12.39,8.027966179,32870.12944,49761.05592,31.40151834,1478.327567,1024.502443,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,12.75,12.69,8.027017281,32872.09667,49765.46381,31.40431771,1478.33233,1024.506151,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,13.05,12.99,8.028737991,32871.91487,49762.59595,31.40244758,1478.341486,1024.505815,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,13.35,13.29,8.028454259,32869.6014,49759.5212,31.40011878,1478.342438,1024.505406,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,13.65,13.59,8.02394671,32869.01508,49765.42532,31.40340671,1478.334249,1024.510003,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,13.95,13.89,8.028224753,32870.33286,49760.97429,31.40083039,1478.352274,1024.50875,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,14.25,14.18,8.033512261,32872.81666,49756.76882,31.3985835,1478.374549,1024.507611,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,14.55,14.48,8.039995004,32885.83288,49766.70377,31.40641151,1478.413838,1024.514203,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,14.85,14.78,8.03491905,32876.75403,49760.60934,31.40122087,1478.393,1024.512233,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,15.15,15.08,8.028814356,32874.65576,49766.63014,31.40434063,1478.378522,1024.516926,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,15.45,15.38,8.021155699,32866.56613,49765.92344,31.40251171,1478.351997,1024.517959,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,15.75,15.68,8.023732105,32865.62777,49760.62013,31.39907315,1478.362473,1024.516272,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,16.05,15.98,8.015177003,32862.72034,49769.11124,31.40353424,1478.340311,1024.522366,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,16.35,16.27,8.01688322,32863.82902,49768.21828,31.40304329,1478.35112,1024.523114,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,16.65,16.57,8.019072577,32865.19367,49766.98482,31.40239002,1478.363568,1024.523667,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,16.95,16.87,8.015508146,32857.64765,49760.92978,31.39746291,1478.348804,1024.521687,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,17.25,17.17,8.004685233,32850.49909,49766.4178,31.39946656,1478.314951,1024.526175,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,17.55,17.47,8.013478816,32857.80167,49764.22183,31.39917765,1478.353022,1024.526074,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,17.85,17.77,8.014982191,32859.38385,49764.35193,31.39937027,1478.363904,1024.527387,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,18.15,18.07,8.012824316,32861.23053,49770.40167,31.40312715,1478.365245,1024.532018,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,18.45,18.37,8.011763306,32865.79737,49778.9183,31.40878096,1478.373113,1024.53798,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,18.75,18.66,8.003752509,32856.86803,49777.47306,31.40637766,1478.344522,1024.538612,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,19.05,18.96,7.999216689,32850.76875,49775.07354,31.40385272,1478.329022,1024.538653,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,19.35,19.26,8.002697039,32850.85953,49769.96197,31.40069185,1478.343292,1024.537056,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,19.65,19.56,8.006160857,32851.31116,49765.42304,31.3979285,1478.35799,1024.535772,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,19.95,19.86,8.004252494,32849.88561,49766.14092,31.39799629,1478.355714,1024.537473,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,20.25,20.16,8.005522274,32852.67323,49768.44928,31.39967534,1478.367547,1024.539986,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,20.55,20.46,8.011855419,32856.80263,49765.1559,31.39823324,1478.394815,1024.53933,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
