Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,651,-56.50554748,0.008022352,5164.475731,1296.47381,25.10368675,Main Box,"4,916"
NA,87,NA,NA,NA,NA,NA,Northern Box,NA
NA,116,NA,NA,NA,NA,NA,Eastern Box,NA
