Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-57.50012341,0.00630939415323181,45.304779965
FM,T02,-35.5,-54.96808251,0.011302948504815,37.73489179
LJ,T01,-35.5,-62.13519985,0.0021701013393634,47.71721901
LJ,T02,-35.5,-52.74615292,0.0188531840825129,40.80018103
LM,T01,-35.5,-58.55555701,0.00494816643502278,44.423199907
LM,T02,-35.5,-56.62410799,0.00771950052357705,36.89545497
MS,T01,-35.5,-67.33696628,0.000655093623273377,19.18451311
MS,T02,-35.5,-56.61012026,0.00774440352564281,17.58594553
MS,T03,-35.5,-61.37332828,0.00258623015975645,15.67398606
MS,T04,-35.5,-52.96310675,0.0179345021314274,14.30784624
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
