Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-60.01990773,0.00353190673584573,39.688032777
BP,T02,-35.5,-44.07533274,0.138824694362618,39.47046435
BP,T03,-35.5,-44.59485563,0.123172693064097,37.44588344
FM,T01,-35.5,-47.70962588,0.060122552741286,35.702434074
LM,T01,-35.5,-50.44584296,0.0320195853827798,40.61174538
LM,T04,-35.5,-50.34336871,0.032784089675495,41.6907907
FM,T02,-35.5,-55.43288347,0.0101557418509512,18.62549804
FM,T03,-35.5,-43.07793431,0.174665273799837,17.17379516
FM,T04,-35.5,-50.44960318,0.0319918740987128,15.82075338
FM,T05,-35.5,-53.40951352,0.0161826129890672,14.24161149
LM,T02,-35.5,-60.77970222,0.00296503468424628,16.6249741
LM,T03,-35.5,-63.61273041,0.00154428324318917,17.7943786
