Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-05-10T18:31:07Z,2026-05-10T21:07:35Z,-65.22903405,45.12250103,-64.77577385,45.27863346,39.688032777,Actual,NA,NA,NA,NA,1,SB,39.688032777,2026-05-10T18:31:07Z,2026-05-10T21:07:35Z,9388,8.217638009506143,2026,2026-05-10
BP,T02,2026-05-10T21:14:44Z,2026-05-10T23:40:25Z,-64.78531162,45.29108297,-65.23608038,45.1355878,39.47046435,Actual,NA,NA,NA,NA,1,SB,39.47046435,2026-05-10T21:14:44Z,2026-05-10T23:40:25Z,8741,8.777516007562523,2026,2026-05-10
BP,T03,2026-05-10T23:46:39Z,2026-05-11T02:04:11Z,-65.23634663,45.15036292,-64.80995759,45.29975589,37.44588344,Actual,NA,NA,NA,NA,1,SB,37.44588344,2026-05-10T23:46:39Z,2026-05-11T02:04:11Z,8252,8.8207472207961235,2026,2026-05-10
FM,T01,2026-05-10T20:04:57Z,2026-05-10T22:29:29Z,-65.2234223,45.1702208,-64.82463636,45.31216952,35.702434074,Actual,NA,NA,NA,NA,1,SB,35.702434074,2026-05-10T20:04:57Z,2026-05-10T22:29:29Z,8672,8.00274670784181,2026,2026-05-10
LM,T01,2026-05-10T18:58:40Z,2026-05-10T21:40:20Z,-65.20645635,45.0988624,-64.74281673,45.25226724,40.61174538,Actual,NA,NA,NA,NA,1,SB,40.61174538,2026-05-10T18:58:40Z,2026-05-10T21:40:20Z,9700,8.138426303037031,2026,2026-05-10
LM,T04,2026-05-10T23:55:55Z,2026-05-11T02:43:03Z,-64.75835419,45.26790429,-65.23137061,45.10598443,41.6907907,Actual,NA,NA,NA,NA,1,SB,41.6907907,2026-05-10T23:55:55Z,2026-05-11T02:43:03Z,10028,8.081394754117271,2026,2026-05-10
FM,T02,2026-05-10T22:33:50Z,2026-05-10T23:48:30Z,-64.83257912,45.31658747,-65.04988738,45.25275218,18.62549804,Actual,NA,NA,NA,NA,1,SB,18.62549804,2026-05-10T22:33:50Z,2026-05-10T23:48:30Z,4480,8.081470560284286,2026,2026-05-10
FM,T03,2026-05-10T23:53:20Z,2026-05-11T01:00:04Z,-65.04946479,45.26328082,-64.84950384,45.32379413,17.17379516,Actual,NA,NA,NA,NA,1,SB,17.17379516,2026-05-10T23:53:20Z,2026-05-11T01:00:04Z,4004,8.337440055897703,2026,2026-05-10
FM,T04,2026-05-11T01:07:22Z,2026-05-11T02:10:14Z,-64.8661213,45.3320327,-65.05042825,45.27745951,15.82075338,Actual,NA,NA,NA,NA,1,SB,15.82075338,2026-05-11T01:07:22Z,2026-05-11T02:10:14Z,3772,8.152972759856628,2026,2026-05-11
FM,T05,2026-05-11T02:15:17Z,2026-05-11T03:11:01Z,-65.05065847,45.28939736,-64.8852413,45.33889422,14.24161149,Actual,NA,NA,NA,NA,1,SB,14.24161149,2026-05-11T02:15:17Z,2026-05-11T03:11:01Z,3344,8.27853291827799,2026,2026-05-11
LM,T02,2026-05-10T21:40:21Z,2026-05-10T22:45:33Z,-64.74276387,45.2522807,-64.54800755,45.3075692,16.6249741,Actual,NA,NA,NA,NA,1,SB,16.6249741,2026-05-10T21:40:21Z,2026-05-10T22:45:33Z,3912,8.260810238891615,2026,2026-05-10
LM,T03,2026-05-10T22:53:12Z,2026-05-10T23:55:54Z,-64.55067189,45.32884542,-64.75830249,45.26792589,17.7943786,Actual,NA,NA,NA,NA,1,SB,17.7943786,2026-05-10T22:53:12Z,2026-05-10T23:55:54Z,3762,9.194424481080276,2026,2026-05-10
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.09,-65.23333333,45.2555,-64.74033333,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.254,-64.73516667,45.30683333,-64.55,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.32833333,-64.55,45.26866667,-64.75716667,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.26683333,-64.75733333,45.10533333,-65.23333333,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.12066667,-65.23333333,45.278,-64.77416667,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.28916667,-64.79116667,45.136,-65.23333333,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.15133333,-65.23333333,45.3005,-64.808,1,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.16666667,-65.23333333,45.31166667,-64.825,1,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.31666667,-64.83333333,45.25,-65.05,1,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.263,-65.05,45.3245,-64.85,1,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.33216667,-64.86666667,45.27616667,-65.05,1,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.28916667,-65.05,45.34,-64.88333333,1,SB,NA,NA,NA,NA,NA,NA,NA
