Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-51.2772221,0.0264409947540966,38.170850217
FM,T02,-35.5,-52.16178638,0.0215685704839122,37.38849579
LB,T01,-35.5,-47.14656819,0.068445229020871,38.0693452
LB,T02,-35.5,-50.02718197,0.0352599590024823,38.36520894
LJ,T01,-35.5,-43.03520234,0.176392358046841,36.972514949
LJ,T02,-35.5,-48.30116961,0.0524666141989508,37.26793283
LM,T01,-35.5,-46.07340284,0.0876313931312469,38.03274456
LM,T02,-35.5,-50.82227625,0.0293611035702785,37.95525482
MS,T01,-35.5,-45.43749167,0.101449715392657,37.38211572
MS,T02,-35.5,-50.11611773,0.034545241013947,39.68445707
FM,T03,-35.5,-57.98114861,0.00564787581604554,28.63731409
FM,T04,-35.5,-53.71403146,0.0150867903044101,28.8179157
LB,T03,-35.5,-46.35594528,0.0821117809895446,29.276833
LB,T04,-35.5,-58.88841487,0.00458309134290928,29.2229716
LJ,T03,-35.5,-53.54021367,0.0157028554542736,28.25551827
LJ,T04,-35.5,-51.14563817,0.0272543722265663,28.70251
LM,T03,-35.5,-55.0216562,0.0111643740855668,29.45212236
LM,T04,-35.5,-47.5810305,0.0619294110671739,29.5155936
MS,T03,-35.5,-52.48643628,0.0200150358347976,29.53536927
MS,T04,-35.5,-54.74265384,0.0119051429903904,29.7067058
