Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer
-35.5,826,-47.51268985,0.063356118,51965.01561,12571.04892,24.19136947,German Bank
-35.5,274,-51.41227609,0.025540073,7023.004622,2235.618282,31.83278956,Seal Island
