Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2026-15,1,1,45 04.75,65 09.94,45 04.81,65 09.54,7:10,7:20,against,2,80,Tracey,S,14,0,15,902920,953952,8.5,8.5,10K100766_20260817_104532,45.0564,-65.2017
SB2026-16,1,2,45 04.06,65 10.50,45 03.72,65 11.45,7:27,7:37,with,5,270,Tracey,S,14,0,15,953952,988302,8.5,8.5,10K100766_20260817_104532,45.0564,-65.2017
