Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-48.79309475,0.0468479428235758,45.4121875
FM,T02,-35.5,-48.92291691,0.045468257304654,35.34255586
LJ,T01,-35.5,-57.64103351,0.00610796653597822,42.847302988
LJ,T02,-35.5,-56.97115196,0.00712663971938527,35.49983715
LM,T01,-35.5,-62.95476696,0.00179689749810549,49.22011862
LM,T02,-35.5,-51.2558975,0.0265711438149267,41.40407908
MS,T01,-35.5,-56.16891363,0.00857252256580939,46.911333994
MS,T02,-35.5,-52.38267974,0.0204989693458947,38.49240235
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
