Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-51.45665666,0.0253708100627473,36.896251704
BP,T02,-35.5,-50.93147438,0.028632057793397,37.17979145
FM,T01,-35.5,-52.74832875,0.01884374093943,38.717062056
FM,T02,-35.5,-53.4924642,0.0158764565804234,37.67689667
LB,T01,-35.5,-46.98389141,0.0710576530240567,38.699017232
LB,T02,-35.5,-53.70206379,0.0151284216711608,38.04807539
LJ,T01,-35.5,-51.58052415,0.0246574172891206,36.87504238
LJ,T02,-35.5,-56.69519184,0.00759417876318743,36.52382501
LM,T01,-35.5,-51.63142458,0.0243701129473755,37.505404724
LM,T02,-35.5,-56.86198181,0.00730805519910208,37.34429279
MS,T01,-35.5,-46.61558835,0.0773465888246767,38.986077728
MS,T02,-35.5,-50.50959169,0.0315530126092139,39.8297865
TM,T01,-35.5,-51.43967266,0.0254702222159888,38.01768973
TM,T02,-35.5,-54.41520535,0.0128374706887389,37.22170682
BP,T03,-35.5,-58.91646773,0.00455358268497497,27.48941197
BP,T04,-35.5,-53.08687432,0.0174306092813714,28.165511
FM,T03,-35.5,-56.64984663,0.00767388589017618,29.4451111
FM,T04,-35.5,-51.37157874,0.0258727222333475,29.3270257
LB,T03,-35.5,-54.47460675,0.0126630792543718,28.78829186
LB,T04,-35.5,-51.01963962,0.0280566644406953,28.781992
LJ,T03,-35.5,-57.9349107,0.00570832813563959,28.11987269
LJ,T04,-35.5,-54.0563201,0.0139433776437493,28.5727761
LM,T03,-35.5,-56.60223476,0.00775847783956043,28.71668806
LM,T04,-35.5,-55.86394782,0.00919613245643325,28.7532646
MS,T03,-35.5,-50.89435955,0.0288777960594054,30.5964226
MS,T04,-35.5,-48.54389403,0.0496147259676219,30.7296068
TM,T03,-35.5,-60.14357244,0.00343275458586913,28.1076625
TM,T04,-35.5,-53.64546294,0.0153268781945677,28.2708416
