Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2026-08-24 19:49:19,2026-08-24 22:18:39,-66.43560084,43.56456092,-66.43487757,43.2332272,36.896251704
BP,T02,2026-08-24 22:56:16,2026-08-25 01:27:48,-66.29884797,43.22996435,-66.2986634,43.56360504,37.17979145
FM,T01,2026-08-24 21:08:53,2026-08-24 23:35:55,-66.47508113,43.56712541,-66.47090918,43.23181244,38.717062056
FM,T02,2026-08-25 00:10:34,2026-08-25 02:37:20,-66.33647532,43.2350814,-66.33867599,43.56106237,37.67689667
LB,T01,2026-08-24 19:55:13,2026-08-24 22:33:16,-66.37637446,43.56776213,-66.37471406,43.23238262,38.699017232
LB,T02,2026-08-24 23:14:29,2026-08-25 01:42:35,-66.2408101,43.23195975,-66.23996301,43.56535004,38.04807539
LJ,T01,2026-08-24 20:18:07,2026-08-24 22:43:22,-66.41539167,43.56764,-66.41555026,43.23620263,36.87504238
LJ,T02,2026-08-24 23:21:30,2026-08-25 01:41:11,-66.2789067,43.23351129,-66.27871478,43.5617257,36.52382501
LM,T01,2026-08-24 20:19:03,2026-08-24 22:44:59,-66.396988,43.56434966,-66.39571471,43.23402185,37.505404724
LM,T02,2026-08-24 23:19:15,2026-08-25 01:42:36,-66.259725,43.23458024,-66.25951682,43.56625943,37.34429279
MS,T01,2026-08-24 21:10:42,2026-08-24 23:30:15,-66.45387724,43.56663899,-66.45346495,43.23670525,38.986077728
MS,T02,2026-08-25 00:07:38,2026-08-25 02:37:41,-66.31731535,43.23393508,-66.31863167,43.56691986,39.8297865
TM,T01,2026-08-24 19:52:28,2026-08-24 22:30:15,-66.49196149,43.57721729,-66.49046168,43.23620183,38.01768973
TM,T02,2026-08-24 23:05:59,2026-08-25 01:35:20,-66.35723333,43.233156,-66.3569472,43.56738797,37.22170682
BP,T03,2026-08-25 02:01:52,2026-08-25 03:47:01,-66.20520543,43.50002787,-66.2057874,43.25312188,27.48941197
BP,T04,2026-08-25 04:03:47,2026-08-25 05:39:13,-66.14922858,43.25175548,-66.1504026,43.50445896,28.165511
FM,T03,2026-08-25 03:12:25,2026-08-25 05:08:16,-66.22270549,43.50201229,-66.22204103,43.24868788,29.4451111
FM,T04,2026-08-25 05:24:35,2026-08-25 07:10:37,-66.16585283,43.24737771,-66.16504706,43.50161673,29.3270257
LB,T03,2026-08-25 02:12:15,2026-08-25 03:55:39,-66.18174459,43.49962427,-66.18158321,43.24810404,28.78829186
LB,T04,2026-08-25 04:15:36,2026-08-25 05:54:28,-66.12505137,43.24797912,-66.12480623,43.50018276,28.781992
LJ,T03,2026-08-25 02:09:43,2026-08-25 04:01:58,-66.19865162,43.49892044,-66.196728,43.24644946,28.11987269
LJ,T04,2026-08-25 04:17:50,2026-08-25 06:06:11,-66.14230654,43.24697183,-66.14058371,43.50338578,28.5727761
LM,T03,2026-08-25 02:08:51,2026-08-25 03:59:17,-66.18995762,43.50216784,-66.18977635,43.24850487,28.71668806
LM,T04,2026-08-25 04:15:27,2026-08-25 05:59:49,-66.13304152,43.24910452,-66.13312877,43.50336105,28.7532646
MS,T03,2026-08-25 03:12:46,2026-08-25 05:09:29,-66.21439246,43.50319411,-66.2144972,43.24705855,30.5964226
MS,T04,2026-08-25 05:28:00,2026-08-25 07:07:08,-66.15714784,43.24729975,-66.15743904,43.50312364,30.7296068
TM,T03,2026-08-25 02:15:36,2026-08-25 04:03:20,-66.2296519,43.50004009,-66.23025319,43.24732832,28.1076625
TM,T04,2026-08-25 04:21:59,2026-08-25 06:08:58,-66.17396693,43.24613205,-66.17292025,43.49997806,28.2708416
