Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
LB,T01,-35.5,-52.77398285,0.0187327576677091,37.723163644
LB,T02,-35.5,-56.80708475,0.00740101909990177,37.57022566
LJ,T01,-35.5,-45.23093748,0.106391333417989,37.372149867
LJ,T02,-35.5,-59.49660856,0.00398418177013404,36.8531379
MS,T01,-35.5,-60.05119869,0.00350655076787571,37.769375471
MS,T02,-35.5,-57.67934228,0.00605432557924412,38.24727711
LB,T03,-35.5,-52.68448901,0.019122783096436,28.9440778
LB,T04,-35.5,-56.58164726,0.0077953438045672,28.8900784
LJ,T03,-35.5,-54.7800263,0.0118031348788909,28.29252752
LJ,T04,-35.5,-55.58358245,0.00980938443275125,27.906443
MS,T03,-35.5,-54.84622984,0.0116245731841804,29.78983388
MS,T04,-35.5,-53.77029183,0.0148926100145883,29.3892601
