Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,826,-51.65098575,0.024345028,20039.2504,13683.99678,68.28597133,German Bank,"17,877"
-35.5,274,-54.52046382,0.012507972,3433.240136,448.028829,13.0497376,Seal Island,"17,877"
NA,NA,NA,NA,NA,NA,NA,School Survey,"17,877"
