Vessel,Difference
C1,137.696212951
FM,133.568404679
LB,134.115691098
LJ,131.081745574
LM,133.49830751000002
MS,136.32827736000002
V1,-130.87461616021835
V2,-130.87461616021835
V3,-130.87461616021835
V4,-130.87461616021835
V5,-130.87461616021835
V6,-130.87461616021835
